,CB-5e-3_0,no-agent_0,CB-5e-3_60,no-agent_60,CB-5e-3_300,no-agent_300,CB-5e-3_3600,no-agent_3600
Si-CH3,10.284684242356832,8.645966478441238,10.13155923975301,10.37986537128242,9.606809136989554,9.693474788715953,9.24894825034734,9.569463705162754
Si-H (bend),3.532494054494812,3.1733542747383154,3.4931477492880347,3.7603478034433593,4.221006762398019,4.671675811478515,4.2182081155916435,4.44288756755784
Si-O-Si,158.45270786568008,130.94238736531213,155.94159845964157,155.1053581196387,156.38126973216998,155.47724605081103,151.1159427678102,152.61752827827232
Si-H (stretch),0.17347906352985554,0.06122021172845393,0.2863434072454343,0.11945993675785971,-0.23290054871736743,-0.19867173593642296,-0.287825879957861,-0.18500840377420502
CH3,12.99609949995313,10.773733941027999,12.994934649629764,12.443902469810197,13.007587009385386,13.429883015660131,12.784656232796578,12.527186827571077
vinyl (C=C),-0.016061765599121494,-0.012911337751863816,-0.019487700697059608,-0.0092380040441681,-0.006725019525329359,-0.009840338973786158,-0.010295614614690397,0.0010964279559524184
