cm-1,ambient_CB-0_00-h,ambient_CB-0_01-h,ambient_CB-0_19-h,ambient_CB-1e-4_00-h,ambient_CB-1e-4_01-h,ambient_CB-1e-4_19-h,ambient_CB-1e-2_00-h,ambient_CB-1e-2_01-h,ambient_CB-1e-2_19-h,ambient_CB-1e+1_00-h,ambient_CB-1e+1_01-h,ambient_CB-1e+1_19-h
400.0,21.129505313483115,-0.9033805786406929,1.4668840777420662,0.2812281401138783,0.48457423332435257,-0.1753548965248945,-0.08012066139337877,-0.13376130012655646,-0.07000458087033494,-1.1000542686584216,-0.1326891240891949,-0.26611223006709056
400.25,21.129505313483115,-0.15968215918034329,4.026690490178121,0.06749204582208217,0.013828624025176879,-0.17759212891927384,-0.25795118405387746,-0.27956493080264627,-0.3117056405187444,-1.2151201459133252,-0.13100785832533823,-0.6393510193439994
400.5,1.255509590692528,1.7461352953493579,3.679765037958271,0.06128214578522592,0.13786795346638137,-0.18654105849679115,-0.25208057532780875,-0.387481708962146,-0.4624549794212698,-1.277899249157262,-0.05871343047950129,-0.9585746031050241
400.75,0.533899774579504,2.2349545477519372,1.2593124875074766,0.5367005393045454,0.8418477582868481,-0.12315280732271022,0.05221264364008724,-0.3093884007136646,-0.39546795297480314,-0.9391718870862161,-0.16096495739042066,-0.8582382184403439
401.0,0.523066379317463,2.3125735575499835,1.9013616945599856,1.284776869325832,1.0046336531113091,0.013566950111581969,0.5793443855016756,-0.11652996195574584,-0.22246568365139013,0.006012104650491861,-0.2265343221808309,-0.4633305385785746
401.25,0.4239804470426977,28.87307667314094,29.173131365486967,2.4829987438792323,0.782469904842377,0.19726858782784001,9.771983824434553,0.1511080661716523,-0.04569753379521161,13.023320367534636,-0.25251752034952485,-0.11772743584467628
401.5,0.2947723913564038,28.87307667314094,29.173131365486967,11.546853304650657,0.6450957184835583,0.3687897380635884,9.771983824434553,0.5458824419567622,0.11406709486757083,13.023320367534636,-0.4347055922147205,0.5047035951581283
401.75,0.35792315885952086,28.87307667314094,29.173131365486967,11.546853304650657,0.5849630618173355,0.36530959878344277,9.771983824434553,0.6299404441874472,0.130728263285261,13.023320367534636,-0.6352347451401706,1.7919613126558558
402.0,0.530200566441246,6.144786529672123,29.173131365486967,11.546853304650657,0.40481669289258415,0.2278440972176908,9.771983824434553,0.30663193889281476,0.03213066388194383,0.9267139948436031,-0.7189923486486667,0.8424556505786713
402.25,0.48633852708761666,6.465371091070565,29.173131365486967,0.8509503644254565,0.03647272067772942,-0.009799699340824333,9.771983824434553,0.051365127913690876,-0.03337283386979696,0.7859419109679232,-0.6584667811498265,-0.016919988341194847
402.5,0.23294276961695026,1.350458854704434,29.173131365486967,0.14302176022384525,-0.29740190441046194,-0.41647883236355526,1.20749951919103,-0.11597767547591217,0.026995372246354392,0.7555141561923104,-0.3144186689278841,0.7769779159852884
402.75,0.3521101174994013,-0.2589622879917977,2.305196053768581,0.12150373451473875,-0.27249339809265416,-0.7525608542747607,0.7047063426729351,-0.15242858314493463,0.11680591707321852,-0.06900804936524323,1.0778222258876082,11.70689194374594
403.0,0.8612796948153285,-0.5174516415518026,0.6362329161178822,0.39849415941451244,-0.14367364824702192,-0.9235848417562027,1.591657477703153,-0.11343715766867726,0.039662424947474996,-0.39164717327906856,11.395750218675998,11.70689194374594
