,CB-5e-5_0,CB-5e-5_5,CB-5e-5_10,CB-5e-5_20,CB-5e-5_30,CB-5e-5_40,CB-5e-5_50,CB-5e-5_60,CB-5e-5_120
Si-CH3,10.246351779394999,10.234846784982963,10.27105044088551,9.551737678957927,9.805879348824739,9.65247663249665,7.185099959298775,10.154623513193016,9.022082337935828
Si-H (bend),3.7992486760205537,4.374329364529874,4.326309199973217,3.979599392587545,4.205103143681185,3.9078289645281643,5.282828976288933,3.901313557798872,4.611932206034723
Si-O-Si,156.92062502813522,160.58509348796838,160.52003810464524,154.08636851154012,157.4222193240587,150.57334551443316,159.21553000998978,155.12988723178165,149.1278983621978
Si-H (stretch),0.3977047562335052,0.2849324886916573,0.3125318350973192,0.44127657361627826,0.2651745403392436,0.12389747868698109,-0.03642788888775872,0.2253876909523278,-0.13590937793346214
CH3,12.950434579736344,13.762640672870262,13.675960820093758,12.797939621801952,13.124286329571643,12.781493883406558,11.867226425815751,13.034851006385187,11.82423269949407
vinyl (C=C),-0.015201207587522574,-0.019589545432196737,-0.020574409553326234,-0.020188084458742456,-0.015120538070709004,-0.019688254261872304,-0.012239028013560721,-0.009724127267790327,-0.0012846731488366792
