,182-17ppt-pp-1024scans_CB-1e-2_0,182-17ppt-pp-32scans_CB-1e-2_0,182-17ppt-pp-512scans_CB-1e-2_0,512scans_CB-1e-3_0
Si-CH3,-7.079150606426374,-6.750809664188772,-7.005896789608407,-6.966193776162903
Si-H (bend),3.7435158789201495,4.045082965958613,3.7059843924824847,5.608577582936398
Si-O-Si,195.26932239597684,195.64745571241255,194.06557001848563,188.32435397265826
Si-H (stretch),-2.1069218299897843,-1.5680883774848624,-1.8211097626807735,-0.65632946060561
CH3,4.37379366249869,4.396590745864431,4.398075964496531,4.101021001023467
vinyl (C=C),-0.024560416300991678,0.0028587170289890995,-0.007964758615184184,-0.007345317670828571
