,laser-8A-KBr_CB-5e-3_0,laser-8A-KBr_CB-5e-3_10,laser-8A-KBr_CB-5e-3_20,laser-8A-KBr_CB-5e-3_30,laser-8A-KBr_CB-5e-3_40,laser-8A-KBr_CB-5e-3_50,laser-8A-KBr_CB-5e-3_60,laser-8A-KBr_CB-5e-3_120,laser-8A-KBr_CB-5e-3_180,laser-8A-KBr_CB-5e-3_300,laser-8A-KBr_CB-5e-3_600
Si-CH3,19.118763972083972,19.073656921260795,19.110240613874993,19.074137475799603,19.07339674891475,19.08585708614754,19.030095136391832,18.94621136484582,18.906630034879296,19.02793757457115,19.569684480266886
Si-H (bend),1.6863012871632215,1.3888510523460766,1.4040840731373159,1.345219620602741,1.3741753745566427,1.358275226316902,1.283370389065034,1.203100627879298,1.1301099323222061,0.7342744084785693,0.7276433880464523
Si-O-Si,107.230867692522,107.72356763203575,107.65738243314959,107.6980165321655,107.64526372045458,107.86469536094509,107.96417885053754,108.1091636568193,108.46578186414948,110.00622660628872,110.33653379764277
Si-H (stretch),2.212411192562109,1.9493192587108839,1.932864005729083,1.8826255655460002,1.9025169852876915,1.8816032480463096,1.8746605372769807,1.813078969748473,1.8028400222725005,1.4009235631727033,1.0042519171628066
CH3,6.916163956077732,6.575084229256941,6.573938116556011,6.4157025811360056,6.515786250866524,6.490035113385061,6.4404775889399275,6.3944226838595535,6.490145780464916,6.457942355038958,6.422346598886547
vinyl (C=C),-0.009437069404237872,-0.008021576852405204,-0.009087996456138434,-0.005619814768442907,-0.006852204034192899,-0.006662622609059421,-0.007420246679747125,-0.008446365543148454,-0.007308063848025889,-0.00788193640420616,-0.006166527462337826
