cm-1,AuNP_0,AuNP_15,AuNP_30,AuNP_60,AuNP_120
944.0,0.10175312921732789,0.1066389387460404,0.10777141807719384,0.11580456172314493,0.08285915429280043
945.0,0.10405567032728064,0.10892700065591107,0.11006703192433658,0.11839497804622166,0.08544264963282071
946.0,0.10635821143723335,0.11121506256578179,0.1123626457714793,0.1209853943692984,0.08673439730283085
947.0,0.10942826625050368,0.1135031244756525,0.11465825961862203,0.12357581069237511,0.08802614497284099
948.0,0.1117308073604564,0.11655387368881341,0.11771907808147898,0.12616622701545183,0.08931789264285114
949.0,0.11480086217372672,0.11960462290197435,0.12077989654433596,0.12875664333852857,0.09190138798287141
950.0,0.11787091698699705,0.12341805941842553,0.12384071500719293,0.1313470596616053,0.09448488332289169
951.0,0.12170848550358493,0.1272314959348767,0.12690153347004987,0.13652789230775875,0.09706837866291197
952.0,0.1263135677234904,0.13180761975461808,0.1307275565486211,0.13911830863083544,0.09965187400293224
953.0,0.13091864994339586,0.13638374357435948,0.13378837501147808,0.14170872495391218,0.10223536934295253
954.0,0.13475621845998376,0.14019718009081064,0.13761439809004927,0.14688955760006564,0.10611061235298294
955.0,0.13859378697657165,0.1440106166072618,0.14067521655290624,0.14947997392314236,0.10869410769300324
956.0,0.14243135549315952,0.14706136582042273,0.14450123963147746,0.15207039024621907,0.1112776030330235
957.0,0.14550141030642985,0.15011211503358368,0.14756205809433443,0.15466080656929582,0.11515284604305394
958.0,0.14780395141638258,0.15240017694345437,0.14985767194147717,0.1572512228923725,0.1177363413830742
959.0,0.15010649252633532,0.15468823885332508,0.1529184904043341,0.15984163921544925,0.11902808905308436
960.0,0.15240903363628805,0.15621361345990553,0.15597930886719108,0.162432055538526,0.12031983672309449
961.0,0.15471157474624078,0.15850167536977625,0.15827492271433383,0.16502247186160268,0.12290333206311478
962.0,0.15701411585619351,0.16078973727964693,0.16133574117719077,0.17020330450775614,0.12419507973312491
963.0,0.15931665696614625,0.16307779918951765,0.16439655964004776,0.1753841371539096,0.1267785750731452
964.0,0.16238671177941658,0.16612854840267857,0.16745737810290473,0.17797455347698632,0.12807032274315533
965.0,0.16468925288936928,0.1691792976158395,0.17128340118147592,0.18315538612313978,0.1306538180831756
966.0,0.1677593077026396,0.17299273413229066,0.17510942426004714,0.1857458024462165,0.1332373134231959
967.0,0.1715968762192275,0.17680617064874182,0.17970065195433257,0.19092663509236996,0.1371125564332263
968.0,0.17696947214245054,0.18214498177177346,0.18429187964861804,0.19351705141544667,0.14098779944325673
969.0,0.18234206806567357,0.18748379289480507,0.19041351657433198,0.19869788406160013,0.1461547901232973
970.0,0.1884821776922142,0.19358529132112695,0.19730035811576013,0.20387871670775354,0.15132178080333786
971.0,0.19462228731875483,0.20044947705073904,0.20495240427290257,0.21164996567698371,0.15648877148337842
972.0,0.20229742435193063,0.2080763500836414,0.212604450430045,0.21683079832313717,0.1629475098334291
973.0,0.20997256138510637,0.21570322311654372,0.22102170120290165,0.22460204729236735,0.16811450051346968
974.0,0.21841521212159976,0.22333009614944602,0.2294389519757583,0.2323732962615975,0.17457323886352039
975.0,0.22762537656141069,0.23248234378892882,0.2386214073643292,0.24014454523082768,0.18232372488358123
976.0,0.23837056840785678,0.2431599660349921,0.24933427198432864,0.24791579420005785,0.1913659585736522
977.0,0.24988327395762047,0.25460027558434556,0.2615775458357565,0.25827745949236475,0.2004081922637232
978.0,0.26216349321070165,0.2668032724369893,0.27382081968718436,0.26863912478467167,0.2107421736238043
979.0,0.27597873987041815,0.2805316438962135,0.2875945027700407,0.2790007900769786,0.22107615498388544
980.0,0.2905615002334521,0.29502270265872793,0.3021333904686113,0.29195287169236217,0.23141013634396654
981.0,0.3059117742998037,0.31103913602782285,0.31820268739861035,0.3049049533077458,0.2430358653740578
982.0,0.3227970757727904,0.32858094400349813,0.3365675981757522,0.32044745124620616,0.2559533420741592
983.0,0.34121740465241224,0.347648126585754,0.3564629181843225,0.33339953286158974,0.2701625664442707
984.0,0.3619402746419869,0.3690033710778805,0.37865385204003554,0.3515324471231268,0.2856635384843924
985.0,0.38573319944483175,0.39188399017658754,0.402375195127177,0.3696653613846639,0.3037480058645344
986.0,0.4118286653576294,0.4178153584884554,0.4291573566771755,0.39297910829235444,0.32312422091468646
987.0,0.4402266723803799,0.4460347887101941,0.45900033669003093,0.41370243887696817,0.3450839313048588
988.0,0.4709272205130829,0.4773049681450936,0.49113893055002916,0.43960660210773544,0.36704364169503123
989.0,0.505465337162374,0.5116258967931542,0.5263383428728843,0.462920349015426,0.3915868474252239
990.0,0.5438410223282527,0.5497602619576658,0.5645985736585963,0.49141492856926994,0.41871354849543685
991.0,0.5860542760107196,0.5924707509419188,0.6082152367543082,0.5199095081231139,0.4484237449056701
992.0,0.6336401256164094,0.6397573637459133,0.6556579229285913,0.5535849203231114,0.4820091843259337
993.0,0.6865985711453223,0.6931454749762296,0.7092222460285881,0.5898507488461854,0.5194698667562277
994.0,0.7456971263007758,0.7526350846328678,0.768908206054299,0.6312974100154131,0.5608057921965522
995.0,0.8117033047860875,0.8182261927158279,0.8347158030057238,0.6753344875077173,0.6060169606469071
996.0,0.8861521340078926,0.8914441738316902,0.9081754461142911,0.7219619813230983,0.6551033721072925
997.0,0.969043613966191,0.9730517152837451,0.990817544611429,0.7763607241077095,0.7093567742477184
998.0,1.0603777446609828,1.0630488170719925,1.082642098497138,0.8333498832153975,0.7700689147381949
999.0,1.1624570672022208,1.1637235411063034,1.1844143123871325,0.8955198749692388,0.835948045908712
1000.0,1.2737465541832695,1.274313200083387,1.2961341862814115,0.9628706993692338,0.9082859154292799
1001.0,1.3957812330107644,1.3948177940032438,1.417036515564262,1.035402356415382,0.9857907756298883
1002.0,1.525491048871435,1.5252373228658738,1.5478865048513972,1.1105244297846069,1.0684626265105373
1003.0,1.6636435154685991,1.664046412064696,1.686388540295675,1.1908273357999855,1.1563014680712267
1004.0,1.8071685779889861,1.8089569996898405,1.8302470080499524,1.2737206581384406,1.2467238049719367
1005.0,1.9529961816193262,1.954630274618275,1.9771662942670871,1.3566139804768957,1.3397296372126668
1006.0,2.096521244139713,2.098778174940129,2.122555171252793,1.4420977191384277,1.4314437217833866
1007.0,2.233138683330242,2.235299202229081,2.261822411312785,1.5249910414768828,1.5231578063541067
