cm-1,182-17ppt-pp-1024scans_CB-1e-2_0,182-17ppt-pp-32scans_CB-1e-2_0,182-17ppt-pp-512scans_CB-1e-2_0,512scans_CB-1e-3_0
800.0,2.668018869616299,2.649620318366941,2.654699911111832,2.6146896433199265
800.25,2.6354138420297284,2.614411030939346,2.621579936438872,2.5831594390733765
800.5,2.602808814443158,2.5863740057655207,2.589758784302106,2.5522727083828785
800.75,2.570855887408319,2.5602930521154503,2.5592364547015345,2.5220294512484323
801.0,2.5382508598217486,2.5329080507828765,2.5293635363690603,2.4904992470018823
801.25,2.505645832235178,2.5016109064027923,2.499490618036586,2.45832556919928
801.5,2.473040804648608,2.4670536428164493,2.468318877167917,2.4261518913966778
801.75,2.4410878776137688,2.4324963792301064,2.4364977250311513,2.39526516070618
802.0,2.4091349505789297,2.3998951871675187,2.404027161626288,2.3637349564596297
802.25,2.3784862246475535,2.369250066628686,2.3709071869533274,2.333491699325184
802.5,2.347185398164446,2.339908993772357,2.338436623548464,2.3019614950786336
802.75,2.3165366722330694,2.3118719685985316,2.306615471411698,2.2710747643881355
803.0,2.285235845749962,2.284486967265958,2.2754437305430297,2.2395445601415855
803.25,2.253935019266854,2.2571019659333844,2.245570812210555,2.208014355895035
803.5,2.2232862933354784,2.231021012283314,2.216347305146178,2.177127625204537
803.75,2.1926375674041023,2.2036360109507402,2.1871237980818017,2.146240894514039
804.0,2.1626409420244572,2.1762510096181664,2.1579002910174245,2.1159976373795932
804.25,2.1339485177482755,2.148213984444341,2.129326195221145,2.0870413273572512
804.5,2.106560294575556,2.120828983111767,2.1001026881567677,2.0593719644470134
804.75,2.0791720714028368,2.092791957937942,2.071528592360488,2.0317026015367756
805.0,2.051783848230118,2.0627988612403607,2.044253319100403,2.0046767121825897
805.25,2.0243956250573985,2.0301976691777734,2.0169780458403177,1.977650822828404
805.5,1.9970074018846795,1.9962924294326818,1.9910015951164273,1.9506249334742183
805.75,1.9702712792636918,1.963691237370094,1.9650251443925366,1.9235990441200321
806.0,1.9448393577461667,1.9356542121962688,1.939048693668646,1.8978601018779504
806.25,1.9194074362286417,1.913485401593709,1.9137216542128526,1.8734081067479729
806.5,1.8946276152628483,1.8958807578799117,1.8883946147570592,1.8502430587300995
806.75,1.8698477942970546,1.8782761141661142,1.8637169865693632,1.8270780107122255
807.0,1.8457200738829926,1.8574113512460582,1.8396887696497641,1.804556436250404
807.25,1.822244454020662,1.8332864691197432,1.8150111414620682,1.7820348617885828
807.5,1.800073035261794,1.806553491628421,1.7916323358105668,1.7601567608828135
807.75,1.7772495159511947,1.780472537978351,1.7695523526952597,1.738278659977044
808.0,1.7550780971923268,1.7576517035345396,1.7481217808480496,1.7170440326273266
808.25,1.732906678433459,1.7374389644557349,1.7273406202689372,1.695809405277609
808.5,1.710735259674591,1.7178782492181823,1.707208870957922,1.6745747779278914
808.75,1.6898680420191863,1.6963614624568746,1.687077121646907,1.6539836241342263
809.0,1.6703050254672438,1.6735406280130631,1.667594783603989,1.634035943896613
809.25,1.651394109467033,1.652023841251755,1.648112445561071,1.6140882636589997
809.5,1.6331352940185533,1.6350712213792093,1.628630107518153,1.5954275305334904
809.75,1.6148764785700742,1.6200746730304194,1.609147769475235,1.5774102709640332
810.0,1.5966176631215945,1.6050781246816288,1.5909642539685114,1.560036484950628
810.25,1.579663048776578,1.5881255048090834,1.5734301497298855,1.5426626989372227
810.5,1.5627084344315614,1.5685647895715307,1.557844279295551,1.5265758600359218
810.75,1.5477101217417388,1.5483520504927264,1.5435572313974113,1.5111324946906728
811.0,1.5327118090519167,1.530747406778929,1.5299195947673687,1.4969760764575277
811.25,1.5183655969138254,1.5157508584301385,1.5169313694054234,1.482819658224383
811.5,1.5040193847757346,1.504014429287607,1.5032937327753806,1.46930671354729
811.75,1.490325273189375,1.4942340716688305,1.4903055074134353,1.4557937688701972
812.0,1.4779353627064782,1.4844537140500542,1.47731728205149,1.4429242977491563
812.25,1.4655454522235816,1.4733693087487743,1.4643290566895446,1.4300548266281154
812.5,1.4544597428441475,1.460980855764991,1.452639653863794,1.4178288290631265
812.75,1.444026134016445,1.4466363312574524,1.440300839769946,1.4062463050541898
813.0,1.432940424637011,1.431639782908662,1.4286114369441953,1.394020307489201
813.25,1.4225068158093084,1.417947282242375,1.416272622850347,1.381794309924212
813.5,1.4114211064298747,1.40490680541734,1.4052326312926935,1.3702117859152754
813.75,1.4003353970504406,1.3931703762748084,1.3941926397350402,1.3586292619063387
814.0,1.3899017882227382,1.3827379948147804,1.3838020594454838,1.348333685009506
814.25,1.3794681793950354,1.3716535895135005,1.3740608904240248,1.3386815816687254
814.5,1.369034570567333,1.3612212080534725,1.3656185439387605,1.3296729518839967
814.75,1.359253062291362,1.3514408504346962,1.356526786185399,1.3206643220992682
815.0,1.350123654567122,1.3423125166571714,1.3474350284320369,1.3122991658705914
815.25,1.3416463473946139,1.3351402544034023,1.338343270678675,1.303934009641915
815.5,1.3331690402221055,1.327967992149633,1.3292515129253135,1.2955688534132384
815.75,1.3246917330495973,1.3207957298958637,1.3208091664400492,1.287203697184562
816.0,1.316214425877089,1.312319419959591,1.3123668199547847,1.2788385409558853
816.25,1.3077371187045808,1.3025390623408144,1.3039244734695201,1.2698299111711566
816.5,1.2992598115320722,1.2914546570395347,1.2954821269842558,1.2608212813864281
816.75,1.290782504359564,1.2784141802144997,1.2870397804989913,1.2524561251577515
817.0,1.2816530966353243,1.2673297749132197,1.2779480227456297,1.243447495373023
817.25,1.2725236889110845,1.258853464976947,1.268856264992268,1.2337953920322422
817.5,1.2633942811868448,1.2523332265644294,1.2591150959708088,1.2241432886914616
817.75,1.2536127729108737,1.2464650119931635,1.2493739269493498,1.213847711794629
818.0,1.243179164083171,1.2392927497393942,1.2389833466597937,1.2029086613417441
818.25,1.2327455552554687,1.2301644159618697,1.2292421776383347,1.1913261373328075
