cm-1,ambient_CB-1e-6_0000-s,ambient_CB-1e-6_0030-s,ambient_CB-1e-6_0060-s,ambient_CB-1e-6_0120-s,ambient_CB-1e-6_0180-s,ambient_CB-1e-6_0240-s,ambient_CB-1e-6_0300-s,ambient_CB-1e-6_0900-s,ambient_CB-1e-6_1200-s
400.0,1.6656562720046744,1.7496179419096094,2.083303318905699,1.9640550166630566,2.197269487989833,2.294548871018127,1.8013112084705165,2.185086765699769,1.8453159229560596
400.5,1.950792236423532,1.8689759465244047,2.0684974067011406,1.874706566885222,2.0760578756824826,2.2815707861304944,1.8056513736430557,2.205586286460669,1.8687333113505924
401.0,2.553351751232015,1.9494002958337282,2.0877316213146524,1.9556636432956658,2.1604424502148936,2.4117887127072004,1.950957691075958,2.5890561966608456,2.070760036196715
401.5,2.118436427785755,2.0333406478446148,2.267500866079626,1.9776622034655014,2.2827383541563564,2.4715599566616198,2.1710588759729137,2.3422479974995323,2.3679495321940904
402.0,1.7822997414872674,2.1285151221995338,2.5695624958100125,1.893091776362832,2.0782417441263266,2.2019546899497806,2.2039166405228596,1.938160890487906,2.2527106717994942
402.5,1.7434381481465193,2.033566553274781,2.6120784069792125,1.8544253221093279,1.9088259774325744,2.13968088620019,2.1732499417362905,1.779209575508036,2.147333649143694
403.0,1.8351146248938597,1.9318431608872044,2.2339251911688165,1.9062869918807699,1.8606922212031685,2.403116213842138,2.145230064421459,1.7477255363206963,2.2330408030286284
403.5,2.253349757767936,1.887319581141379,2.0340415069304743,1.986134715305443,1.838290127012107,2.95729320598418,2.1039759002317893,1.751533717863292,2.300119957215994
404.0,2.096500075915423,1.8873895519701438,1.9354377652682069,1.9781846049370806,1.8039656527094605,2.9450824911231535,2.01311458810774,1.7292671240195794,2.1320314892151684
404.5,1.8117588849344435,1.9371127295855965,1.9016363661586728,1.9808998929996093,1.82813786119397,2.6614900887724637,1.928059242683259,1.7451991715731268,2.0339032438887115
405.0,1.7407108384533467,2.0275703979691584,1.9842438681746404,2.114501285040691,1.943657545514122,2.4358924798105055,1.9446941902003967,1.8409331961960358,2.0591747388223043
405.5,1.7669046824061971,2.1390384736110555,2.077861860177492,2.2350481634304,2.000852032413987,2.4622311757667736,2.0010318787084063,1.9558495670834293,2.0322710290392436
406.0,2.0673224180383842,2.1945072739211984,2.027838766012083,2.0825600528122252,1.8837571647361473,2.2442240062182073,2.01980132402479,2.0080702623515476,1.9048942540196523
406.5,2.2039058454714144,2.0994727117999408,1.9847077231324999,1.9487577425797409,1.7983122482181502,2.088561241812215,2.0852748591875843,2.02375306790424,1.8310412570160965
407.0,1.9613396694259362,1.9752807793170235,2.0613475721883856,1.9529233806078206,1.8274591023754856,2.1185671682464973,2.311010947153774,2.1015502048479577,1.84012905954128
407.5,1.9895823922892464,1.8871067089649334,2.1454678209295945,2.022105438699276,1.9057534580457096,2.089810663263802,2.5462244408831,2.142145127367043,1.852335543070788
408.0,2.243470734445498,1.8644508691382373,2.073507617617787,2.048284461064546,1.9372161052748498,2.0344447391147416,2.356917094381535,2.06299548885652,1.825010240898391
408.5,2.392091894740585,1.9257509900857523,2.03533539190455,2.044856225402991,1.9700510798127526,2.051913460201239,2.193309791219479,2.035746189166352,1.842695481314784
409.0,2.1396221229173884,2.0678340670739024,2.1161776102237617,2.070437924557423,2.085570527368619,2.135735052177527,2.156239031211282,2.1727511467780523,1.9532676775519051
409.5,1.995663717775246,2.20494321525782,2.1346548696706953,2.039962104009202,2.194914339352793,2.188000607736866,2.1036286622196956,2.3474565023061422,2.0352657178921794
410.0,1.9073696659252486,2.3656354772987127,2.114637304832703,1.9423367185403864,2.1273956276387693,2.1376664685302624,2.004057996757477,2.268804987274248,1.9510449143162347
410.5,2.0928726317085244,2.491767685273661,2.1885033029188716,1.928754876900661,2.0565317664494946,2.1242613561346944,1.9645110604528686,2.1983744606668307,1.8785403166897103
411.0,2.6148377327912193,2.3616582918493294,2.399958744154609,2.06337979454477,2.0812182241409776,2.240747560600374,2.047743845995295,2.310882324169474,1.8849306245628306
411.5,2.463536976578915,2.244841186117586,2.690252839558587,2.233755197593605,2.1009298585627523,2.302223939900235,2.1738385178101662,2.3910873681144786,1.8646011446801953
412.0,2.0332312804552974,2.278098599421311,2.381019898269212,2.18689713152417,2.028950868765018,2.1653238797609355,2.192522222675046,2.0605736231856824,1.7912535655571815
412.5,1.869380367494,2.2243985020388806,2.1825645236280624,2.0641865112342677,1.9813311842226207,2.101599610923242,2.206168341857758,1.8841001430121,1.776149974274426
413.0,1.8726079475692277,2.1443710115656884,2.1726327525699185,2.0128062445080324,2.0221427172203295,2.174589579340787,2.3360197455826475,1.8764481526467736,1.8653124159459542
413.5,2.0991760268695736,2.1429825550649806,2.14488240060318,1.9787466034536454,2.055920891637736,2.195128317755114,2.4189962351816767,1.9019293277875164,1.9913093226534129
414.0,2.245406371725454,2.1415083122496514,2.054935189357143,1.9236120469174987,1.998179986470489,2.0969482120763887,2.2452281099588705,1.8848106502218078,2.0243349261486134
414.5,1.9415406380189408,2.1673047293929986,2.050382514348048,1.9226578355781998,1.9697731803067067,2.0583833434872214,2.1127849895908644,1.8980847986991647,2.0399968719723
415.0,1.858112659685201,2.276885593617582,2.177871997739149,2.007538960042089,2.053556520356285,2.1473217696772613,2.1137089966860296,2.007104717675129,2.1698710070422593
415.5,1.9287862018226138,2.3353553250590418,2.307714844962177,2.070747905068399,2.1706194854784937,2.314638463986853,2.12137817594481,2.10449892408931,2.316687294633703
