,CB-5e-3_0,CB-5e-3_20,CB-5e-3_86400,no-agent_86400
Si-CH3,6.39372781681751,8.384173107745951,5.924941676181199,9.380551699186853
Si-H (bend),2.5239242810812215,3.2888778182875846,3.88145429692738,4.183509192534977
Si-O-Si,101.56244484606296,144.17995286121928,126.07567032809072,147.90328194817386
Si-H (stretch),-0.16485608673450614,-0.6080332218603672,-0.6189145171382329,-0.4546743673987308
CH3,8.178907776783042,13.697383295560233,13.830359222442297,12.176201416570857
vinyl (C=C),-0.011057331984594576,-0.013563715650564606,-0.0016298886197951973,0.0005309204049267768
