,CSVs\01_0cb_0s_2,CSVs\01_5e-3_0s,CSVs\02_0cb_10s,CSVs\02_5e-3_10s,CSVs\03_0cb_20s,CSVs\03_5e-3_20s,CSVs\04_0cb_30s,CSVs\04_5e-3_30s,CSVs\05_0cb_40s,CSVs\05_5e-3_40s,CSVs\06_0cb_50s,CSVs\06_5e-3_50s,CSVs\07_5e-3_1min,CSVs\08_0cb_2min,CSVs\08_5e-3_2min,CSVs\09_0cb_3min,CSVs\09_5e-3_3min,CSVs\10_0cb_5min,CSVs\10_5e-3_5min,CSVs\11_0cb_7-5min,CSVs\11_5e-3_7-5min,CSVs\12_0cb_10min,CSVs\12_5e-3_10min,CSVs\13_0cb_15min,CSVs\13_5e-3_15min,CSVs\14_0cb_20min,CSVs\14_5e-3_20min,CSVs\15_0cb_25min,CSVs\15_5e-3_25min
Si-CH3 (symm),1.0,0.6549131289261916,1.019704684298994,0.6542665469065653,0.9901248733190454,0.652845941789756,0.9910764583553932,0.6617362438053251,1.0200703867878553,0.6800991564073515,1.0139233168096318,0.6968294417899493,0.6946998862706811,1.0065154957838092,0.6874549348982643,1.0055664706027767,0.6614404223312969,1.0214683177933985,0.6926384824282563,1.0143089708918673,0.7105228258969604,1.026998127340303,0.7219203276435576,1.0302520034070815,0.6961147972180465,1.0421298834104713,0.711158218423724,1.0425933954049122,0.7231420948981608
Si-O-Si,1.0,0.8240393417818995,1.0189549807804439,0.83630542454881,1.004977440640139,0.8423207918558088,1.0039143237770225,0.8453136003385224,1.0236675951669811,0.8832008416690345,1.0206476542208367,0.936158605135078,0.921969064591864,1.017789676419277,0.897239497548473,1.018314925881297,0.8564933422042379,1.028877559675488,0.9097688116233117,1.0243899536521084,0.9544430500987385,1.030268283253692,0.9639472820889683,1.03653091407318,0.8948695452622399,1.040351473996774,0.909848310774912,1.0435518772288954,0.9486462556585291
Si-H (bend),1.0,0.6868540515945393,1.0286522882801221,0.6956614422298988,1.0071623626424877,0.6988506572866137,1.0082505532196222,0.7087047187634657,1.0366244946912486,0.744625241180029,1.0339237312395166,0.7819966527147124,0.7780515590817677,1.025688849502883,0.7633264885698757,1.0273914058930977,0.7156381306923942,1.0416957217754244,0.7831134214119202,1.0345899590543401,0.8205339147566298,1.0466879488826235,0.8383363311258711,1.0576581040134565,0.7854018422811532,1.0692305464468872,0.8186151434261907,1.0741800965047756,0.8484095728449031
Si-H (stretch),1.0,1.0024869275222326,0.9077642785552735,0.9159689634490064,0.9490161411462105,0.8803771391704094,0.8943483301328617,0.8523248250752684,0.9380588585676977,0.8078841948392219,0.912253020352235,0.7880352187996318,0.7826794782645137,0.8377931847973356,0.7398109193913971,0.8640563674314072,0.7519937119114762,0.8217717507835404,0.574619504181,0.8164442367138124,0.48857495258497985,0.7881751974723294,0.45603311377034444,0.7521165324846176,0.2885491207730369,0.659989793219429,0.22350997288309174,0.6934429563733802,0.2152425991542473
CH3,1.0,1.1789304068514834,0.994655488766434,1.1845366231554573,0.9986462587511132,1.185201769777946,0.9953592530237847,1.1667928436310646,0.9646933568688529,1.1483912481434437,0.9814579701446302,1.133914467944771,1.1323478537628846,0.9667467846960283,1.1440556721013129,0.968228069091407,1.1934592137051256,0.9814793370323279,1.1819337042309292,1.0091274430537511,1.183315372721125,1.0347794691043757,1.1695776206868393,1.0574377234131864,1.1958839705906499,1.032613749518236,1.162466064071994,1.059239582858535,1.1554179133943285
vinyl C-H (stretch),1.0,1.0585123547135342,0.751924856244727,1.1791543044457964,1.0107163499382539,1.1761427911633837,1.1721444407078094,1.0959779491537343,0.8313526557496382,0.84020505843512,1.0888591514771377,1.1493933421687357,0.982104128190755,0.8195915397876309,1.0144515241919798,1.0164233123991788,1.027377955185943,1.1660260594515328,1.0039929073298233,1.2045508106295533,0.8444272447160064,0.7929836511188383,1.1992226400419057,1.0250222605402066,0.7458635868095141,1.0364984704086437,0.9170656635282463,1.1060672000307084,0.7675990845206561
