Sample,Amplitude,Amplitude Error,Agent Loading,Time Value
laser-disk-center_CB-5e-3_0-s,0.00036099264598723167,8.486219253972978e-05,5e-3,0.0
laser-disk-center_CB-5e-3_1-s,-0.0009751329188445899,0.00010822491440542647,5e-3,1.0
laser-disk-center_CB-5e-3_2-s,-0.001614114576559435,0.0001666470557018751,5e-3,2.0
laser-disk-center_CB-5e-3_3-s,-0.0004379820416908747,8.190752798868038e-05,5e-3,3.0
laser-disk-center_CB-5e-3_4-s,-0.0005124915821860334,0.00014369188016057928,5e-3,4.0
