cm-1,CB-5e-3_0,CB-5e-3_1,CB-5e-3_5,CB-5e-3_10,CB-5e-3_20,CB-5e-3_30,CB-5e-3_120
402.0919,-0.07290897518054115,0.05184326533389689,-0.03428750979421701,-0.05413340363609566,-0.056210950037146906,-0.04488890881657229,-0.02495846463963254
403.0562,-0.07305689102906487,0.05343852529288626,-0.034304435958132644,-0.054320729583382056,-0.05628434411307321,-0.04549637323076064,-0.0255000269324111
404.0204,-0.07321526705869102,0.055307043555789456,-0.03414868353157335,-0.05403995884459043,-0.05648349387840107,-0.04615051493357915,-0.02842455072656087
404.9847,-0.07349743557146844,0.05670460100799458,-0.0336905237045622,-0.05360508169811057,-0.056788785947988925,-0.04650839431124551,-0.03168896539475321
405.9489,-0.07391853990147676,0.05720722777967866,-0.03281214374418897,-0.05342407430553967,-0.05718535887425479,-0.046478527698034754,-0.03287809906806614
406.9132,-0.07436379152537641,0.05689026018338986,-0.03157830713282933,-0.05360168852950092,-0.05767406420478302,-0.04614725570712613,-0.030580657907913672
407.8774,-0.07467711155135195,0.05621081734089887,-0.030369149704674622,-0.05384225091845105,-0.05825194187952293,-0.0456240669363643,-0.025270856508181817
408.8417,-0.0748391623178033,0.055725667914031767,-0.02973374814333905,-0.05373935971310043,-0.05883142510951715,-0.04497341352346382,-0.019338704485284672
409.8059,-0.0750334824011196,0.055792734613962426,-0.030025158583376375,-0.053203106418036,-0.05920539103935129,-0.044271406392736766,-0.01602739989157501
410.7702,-0.07554203179412822,0.056394490534839345,-0.031089016284153077,-0.05259230814098551,-0.05913047758269996,-0.043664463318838186,-0.017740200253065386
411.7344,-0.07649366557089957,0.057178393877808244,-0.03231626769502851,-0.052456424305460214,-0.058483552079837804,-0.04328265224678787,-0.02468308397871453
412.6987,-0.07770237709924187,0.0576709243587453,-0.03306840067556591,-0.053077042524176284,-0.057410513380158026,-0.043076888682432556,-0.03476420975646217
413.6629,-0.07871853241794395,0.05759649430511416,-0.033114291629350805,-0.05419243499534378,-0.05639704946014221,-0.04282739112504393,-0.04491035164231059
414.6272,-0.07912369009931085,0.057064991150672914,-0.03277407068851588,-0.0550970216302655,-0.05610103012410074,-0.04228723177625101,-0.05273408627885679
415.5914,-0.0788101512983057,0.05646879314581029,-0.032615928558660995,-0.05509952461575225,-0.05699123225882621,-0.04144790147209996,-0.05734211842708111
416.5557,-0.07803925987957655,0.05615009445338708,-0.03300343174358564,-0.05400706745092776,-0.05892470495060125,-0.040626913204001726,-0.0590453325949914
417.5199,-0.07718538777579474,0.05609965548053874,-0.03382609160856452,-0.05233842093250552,-0.06104514873591512,-0.04032327462744851,-0.05842771054119573
418.4842,-0.07641739512620768,0.05598097450322676,-0.03460792467229291,-0.0510181816156444,-0.06222002206429948,-0.04091378766551345,-0.055779952596589334
419.4484,-0.07563673403506328,0.055413550218978376,-0.03488635934782931,-0.0507683159403314,-0.06179095153200981,-0.042440647371790374,-0.05122844646866755
420.4127,-0.07466259377712256,0.054288178428297064,-0.03455293266146223,-0.05160910960902604,-0.06008320122616612,-0.044590001046299156,-0.04521543728613522
421.3769,-0.07351209008009134,0.052850883646626566,-0.03388605766245389,-0.05288429867803991,-0.05818603471209088,-0.04688187991192777,-0.03872816704997418
422.3412,-0.07243899855993767,0.05153788793953856,-0.033314868113502705,-0.05375190605876204,-0.057161609111707506,-0.04884696575905907,-0.03287432378378779
423.3054,-0.0717570050071397,0.05073329286465651,-0.033108585897349434,-0.05377025430383644,-0.05737808116402095,-0.05018504984569288,-0.028373501793705
424.2697,-0.07162479652206877,0.05060612279014561,-0.03325344949486504,-0.053115494944171435,-0.058446562422131566,-0.05077746778097045,-0.025364595061667376
425.2339,-0.071997510550219,0.05108582050321524,-0.03357276503733739,-0.052327169716014886,-0.05967902789324548,-0.050698417095571935,-0.023740830667334265
426.1982,-0.07271498667812908,0.05190306426212221,-0.03391402764371141,-0.05190746408268064,-0.060576252648808206,-0.05015070731878179,-0.02340260941878635
427.1624,-0.07360353804246121,0.05269169714381411,-0.0342311120755654,-0.0520576536846281,-0.06098939996523028,-0.04936713694153348,-0.02421938735435972
428.1267,-0.07451960036676468,0.05311110385838709,-0.03452693787991206,-0.05270839500204032,-0.061046569409049234,-0.048529699265765544,-0.025855000015523735
429.0909,-0.07535160522266669,0.05300806646761475,-0.03476642363567156,-0.053674076126506765,-0.06099890874459097,-0.04776998683398145,-0.027749237717432367
430.0552,-0.07603777601118594,0.052483735502883704,-0.0348677391257705,-0.054776520796878794,-0.06111250031923778,-0.04718389023468158,-0.029498159668517595
431.0194,-0.07657839645618895,0.051821589461441074,-0.034755325752644256,-0.055878019429500596,-0.06155677010793494,-0.04685907212389211,-0.031069116714769657
431.9837,-0.07703048821812321,0.051323617886928206,-0.034449324786301465,-0.0568550041341708,-0.062290647034213366,-0.04678853485065712,-0.032782560629733185
432.9479,-0.07747523734312677,0.05111468626575072,-0.03407989035344434,-0.0575790825772533,-0.0630745433315782,-0.04684965809128017,-0.034979815656550055
433.9122,-0.07792120340423243,0.05114053234525421,-0.03379912364467679,-0.05792663101391939,-0.06359017761867002,-0.04681451690095254,-0.03772096112547483
434.8764,-0.07834217099984725,0.051212859594992055,-0.03372680177947934,-0.05784992864695313,-0.06365735405051039,-0.04655983503240595,-0.04078334990430159
435.8407,-0.07870300622756252,0.05113752328244391,-0.03389851079199573,-0.057446658237707594,-0.06332609978269609,-0.04619944751175489,-0.043836839061301716
436.8049,-0.07900606433730623,0.05081368440272595,-0.03426524914933989,-0.05695527366295162,-0.0627660081571443,-0.046077639445745944,-0.04653372388200057
437.7692,-0.07927807690300676,0.05028364683887701,-0.03476280483912742,-0.056671650847252494,-0.06209053062731603,-0.04656412402488114,-0.048533213549931876
438.7334,-0.07950905889557908,0.04972891725961417,-0.03536408734858364,-0.056778364603660265,-0.06130709361606029,-0.04781879026658346,-0.0493895010227827
439.6977,-0.07959202932555222,0.0493880010634293,-0.036078943841213136,-0.05720631926726674,-0.06040880004723009,-0.04964399786308569,-0.04866304271985048
440.6619,-0.07939109471595057,0.049406575831153564,-0.03691292145634004,-0.057643210671244303,-0.05951767328782962,-0.05155779252603666,-0.04624224922206005
441.6262,-0.07886321449806152,0.04972380185283666,-0.037812322155204754,-0.05775490945314033,-0.05887015732985939,-0.053016661709792696,-0.042608546707805395
442.5904,-0.07814068261595192,0.05008719751825141,-0.038661910335902064,-0.057433532400287556,-0.058646604097729794,-0.05366442192198469,-0.03884063920416092
443.5547,-0.07747089260777344,0.05019856824297131,-0.039319550915840586,-0.05691370734748341,-0.05881850515773252,-0.05342192731731768,-0.036093173489495776
444.5189,-0.07706963185662118,0.04989653621844325,-0.03967658268046225,-0.056585603302952855,-0.059206248892388985,-0.052491297515826936,-0.03502155371281971
445.4832,-0.07700430016340896,0.04922191495659653,-0.03969414681946584,-0.056710438395011546,-0.059648810759521075,-0.05121050648398453,-0.035479297467547834
446.4474,-0.07719528734588381,0.048352175441908514,-0.03939404982597097,-0.057252954390164174,-0.0601416278684024,-0.049964584757051365,-0.03658406368955382
447.4117,-0.07749472541255972,0.0474877495781361,-0.03885268290909771,-0.05795316196189607,-0.06073912406606068,-0.049056820519247694,-0.0372372394916445
448.3759,-0.07781156293080796,0.04674166484458179,-0.03823011654148097,-0.058578859460783984,-0.06140990364390846,-0.04863498009690377,-0.03669178834632763
449.3401,-0.07807105404442412,0.04620651895410313,-0.037686298646868656,-0.059000006841685916,-0.06191090694384644,-0.04855368975537123,-0.03496487110597692
450.3044,-0.07827377303786089,0.04588856721727166,-0.03741210992982727,-0.05927085291138575,-0.062032193506948476,-0.04854544822862611,-0.03272112708401505
451.2687,-0.0784230288834409,0.04570937929695547,-0.03749979365844219,-0.05950613005622577,-0.06175733023192074,-0.048395792298637996,-0.030718467829191885
452.2329,-0.0785072128311563,0.0455456614995581,-0.037853278714100276,-0.05977589045160709,-0.06129514050045789,-0.04808840544173543,-0.02926702588997582
453.1972,-0.078516363780441,0.04531177943757241,-0.03821276866521906,-0.06006125174258153,-0.06092380378898566,-0.04773134511889198,-0.028150016665398993
454.1614,-0.078509909917068,0.0450401672680195,-0.03830225458334799,-0.060278191115089794,-0.06084525807981719,-0.04742932120186726,-0.027135404713764723
455.1257,-0.0786348202038861,0.04486404505169592,-0.03801057381488357,-0.06032939584468478,-0.06111064371352553,-0.047234695423676525,-0.026493566809627566
456.0899,-0.07904274675672127,0.04487361741150655,-0.037433855148503385,-0.06015629886370798,-0.061660249603670975,-0.047270050723771134,-0.026876513820047913
457.0542,-0.07977280928555264,0.04499197978216802,-0.03680087212549563,-0.05977839692800804,-0.06234649311127726,-0.0477901267463491,-0.02859299826706242
458.0184,-0.08067860285690456,0.04501991804534315,-0.036316670660006954,-0.0592684022896121,-0.06294699412992058,-0.048970401739010655,-0.0309966429575976
458.9827,-0.081503241147357,0.044800206899157,-0.03609168892545625,-0.05873332543263558,-0.06324224892974185,-0.0506295791062019,-0.03279345974122775
459.9469,-0.08204035093680702,0.044365542466098876,-0.03615895384687738,-0.0582925870412014,-0.06315534654874062,-0.052184600568173534,-0.03292771979401634
460.9112,-0.08226027795366521,0.043874728921000625,-0.03651937372778539,-0.058086532339192,-0.06283290045435785,-0.05299780645602696,-0.03140009936332954
461.8754,-0.08228067188845509,0.0434852889319443,-0.037151589018060184,-0.05824539686294499,-0.06259107853340005,-0.052833757591702536,-0.029140144332622762
462.8397,-0.08225640837032928,0.04329061318833982,-0.03796807097738502,-0.05881614388129331,-0.06271912594371842,-0.05197758021347169,-0.027292724285520566
463.8039,-0.08234746322131786,0.04329243632639548,-0.03888342105344877,-0.05976734469362723,-0.06336601875163721,-0.051035069019197056,-0.02657657144181489
464.7682,-0.08250181242305557,0.04358969987138769,-0.03963412669989107,-0.060789760155793286,-0.06428219723293666,-0.05034095234316863,-0.02711384739314524
465.7324,-0.08270245647207104,0.04411741160668796,-0.04012087646135256,-0.06162312515905446,-0.06516111515557058,-0.05001333721113742,-0.02867825189494336
466.6967,-0.08294902276714204,0.044655085109927266,-0.0404000608477268,-0.06211374871451321,-0.06577788580079093,-0.05001655225620995,-0.030903656363651524
467.6609,-0.08323180316633033,0.044963301643548954,-0.040639074429833624,-0.06227282269311865,-0.06607125674911381,-0.0503384068159389,-0.03335931359652109
468.6252,-0.08350661195037784,0.04496001291490099,-0.040996253973995436,-0.06223314147132248,-0.06615933459117394,-0.050972739287029875,-0.035532096384045954
469.5894,-0.08371858444389443,0.04476981182469912,-0.041517328236940876,-0.062190353335881667,-0.06621491599488681,-0.051806992504834844,-0.03705915069416411
470.5536,-0.08384477319729171,0.04457670433382989,-0.042129380630932856,-0.06231656733905232,-0.06635576892468804,-0.05257256066881764,-0.03792046442288415
471.5179,-0.08395286173535,0.044442316048648164,-0.042724539300420444,-0.06271498537754948,-0.06658539251796826,-0.052978003001864574,-0.03850371142926481
