Created as New Dataset,Sample 162 By irlear Date Thursday, June 06 2019
cm-1,%T
3824.50,72.25
3824.00,72.20
3823.50,72.13
3823.00,72.07
3822.50,72.01
3822.00,72.01
3821.50,72.05
3821.00,72.05
3820.50,72.00
3820.00,71.96
3819.50,71.92
3819.00,71.86
3818.50,71.80
3818.00,71.73
3817.50,71.66
3817.00,71.62
3816.50,71.57
3816.00,71.49
3815.50,71.42
3815.00,71.36
3814.50,71.32
3814.00,71.26
3813.50,71.19
3813.00,71.11
3812.50,71.03
3812.00,70.95
3811.50,70.86
3811.00,70.78
3810.50,70.69
3810.00,70.60
3809.50,70.51
3809.00,70.42
3808.50,70.33
3808.00,70.25
3807.50,70.17
3807.00,70.07
3806.50,69.97
3806.00,69.89
3805.50,69.82
3805.00,69.74
3804.50,69.64
3804.00,69.54
3803.50,69.44
3803.00,69.36
3802.50,69.29
3802.00,69.21
3801.50,69.08
3801.00,68.95
3800.50,68.87
3800.00,68.81
3799.50,68.73
3799.00,68.64
3798.50,68.53
3798.00,68.40
3797.50,68.28
3797.00,68.14
3796.50,67.99
3796.00,67.86
3795.50,67.74
3795.00,67.63
3794.50,67.51
3794.00,67.36
3793.50,67.21
3793.00,67.04
3792.50,66.87
3792.00,66.70
3791.50,66.53
3791.00,66.34
3790.50,66.15
3790.00,65.95
3789.50,65.75
3789.00,65.55
3788.50,65.35
3788.00,65.14
3787.50,64.94
3787.00,64.73
3786.50,64.53
3786.00,64.32
3785.50,64.10
3785.00,63.87
3784.50,63.64
3784.00,63.42
3783.50,63.23
3783.00,63.04
3782.50,62.85
3782.00,62.65
3781.50,62.45
3781.00,62.26
3780.50,62.06
3780.00,61.85
3779.50,61.64
3779.00,61.45
3778.50,61.29
3778.00,61.14
3777.50,60.98
3777.00,60.82
3776.50,60.65
3776.00,60.48
3775.50,60.32
3775.00,60.16
3774.50,60.01
3774.00,59.86
3773.50,59.72
3773.00,59.58
3772.50,59.44
3772.00,59.31
3771.50,59.19
3771.00,59.06
3770.50,58.93
3770.00,58.79
3769.50,58.67
3769.00,58.57
3768.50,58.49
3768.00,58.40
3767.50,58.31
3767.00,58.22
3766.50,58.14
3766.00,58.07
3765.50,58.00
3765.00,57.95
3764.50,57.91
3764.00,57.87
3763.50,57.83
3763.00,57.80
3762.50,57.75
3762.00,57.71
3761.50,57.66
3761.00,57.62
3760.50,57.61
3760.00,57.63
3759.50,57.64
3759.00,57.64
3758.50,57.64
3758.00,57.63
3757.50,57.64
3757.00,57.66
3756.50,57.69
3756.00,57.73
3755.50,57.75
3755.00,57.76
3754.50,57.77
3754.00,57.77
3753.50,57.79
3753.00,57.86
3752.50,58.00
3752.00,58.12
3751.50,58.21
3751.00,58.27
3750.50,58.36
3750.00,58.48
3749.50,58.59
3749.00,58.68
3748.50,58.76
3748.00,58.83
3747.50,58.90
3747.00,58.95
3746.50,58.97
3746.00,58.97
3745.50,58.99
3745.00,59.16
3744.50,59.46
3744.00,59.67
3743.50,59.79
3743.00,59.88
3742.50,59.97
3742.00,60.08
3741.50,60.20
3741.00,60.31
3740.50,60.40
3740.00,60.46
3739.50,60.52
3739.00,60.57
3738.50,60.62
3738.00,60.67
3737.50,60.68
3737.00,60.68
3736.50,60.66
3736.00,60.63
3735.50,60.59
3735.00,60.52
3734.50,60.47
3734.00,60.44
3733.50,60.40
3733.00,60.34
3732.50,60.21
3732.00,60.04
3731.50,59.88
3731.00,59.75
3730.50,59.62
3730.00,59.47
3729.50,59.30
3729.00,59.13
3728.50,58.96
3728.00,58.78
3727.50,58.57
3727.00,58.33
3726.50,58.07
3726.00,57.82
3725.50,57.58
3725.00,57.37
3724.50,57.17
3724.00,56.98
3723.50,56.77
3723.00,56.53
3722.50,56.25
3722.00,56.00
3721.50,55.80
3721.00,55.65
3720.50,55.49
3720.00,55.30
3719.50,55.09
3719.00,54.87
3718.50,54.67
3718.00,54.49
3717.50,54.31
3717.00,54.13
3716.50,53.93
3716.00,53.72
3715.50,53.51
3715.00,53.29
3714.50,53.08
3714.00,52.88
3713.50,52.67
3713.00,52.41
3712.50,52.08
3712.00,51.75
3711.50,51.50
3711.00,51.32
3710.50,51.12
3710.00,50.86
3709.50,50.58
3709.00,50.33
3708.50,50.14
3708.00,49.98
3707.50,49.81
3707.00,49.63
3706.50,49.43
3706.00,49.24
3705.50,49.07
3705.00,48.92
3704.50,48.78
3704.00,48.64
3703.50,48.51
3703.00,48.38
3702.50,48.25
3702.00,48.15
3701.50,48.08
3701.00,48.05
3700.50,48.04
3700.00,48.03
3699.50,48.04
3699.00,48.05
3698.50,48.07
3698.00,48.11
3697.50,48.16
3697.00,48.24
3696.50,48.32
3696.00,48.41
3695.50,48.50
3695.00,48.59
3694.50,48.69
3694.00,48.79
3693.50,48.89
3693.00,48.98
3692.50,49.08
3692.00,49.24
3691.50,49.46
3691.00,49.67
3690.50,49.83
3690.00,49.96
3689.50,50.11
3689.00,50.31
3688.50,50.51
3688.00,50.63
3687.50,50.72
3687.00,50.79
3686.50,50.88
3686.00,50.97
3685.50,51.07
3685.00,51.17
3684.50,51.26
3684.00,51.34
3683.50,51.40
3683.00,51.46
3682.50,51.52
3682.00,51.57
3681.50,51.61
3681.00,51.63
3680.50,51.66
3680.00,51.69
3679.50,51.71
3679.00,51.72
3678.50,51.72
3678.00,51.71
3677.50,51.68
3677.00,51.64
3676.50,51.60
3676.00,51.56
3675.50,51.45
3675.00,51.33
3674.50,51.27
3674.00,51.24
3673.50,51.20
3673.00,51.15
3672.50,51.08
3672.00,50.98
3671.50,50.85
3671.00,50.69
3670.50,50.53
3670.00,50.39
3669.50,50.26
3669.00,50.12
3668.50,49.99
3668.00,49.87
3667.50,49.75
3667.00,49.63
3666.50,49.49
3666.00,49.33
3665.50,49.15
3665.00,48.98
3664.50,48.82
3664.00,48.65
3663.50,48.48
3663.00,48.32
3662.50,48.15
3662.00,47.98
3661.50,47.81
3661.00,47.63
3660.50,47.45
3660.00,47.25
3659.50,47.06
3659.00,46.87
3658.50,46.70
3658.00,46.54
3657.50,46.35
3657.00,46.12
3656.50,45.84
3656.00,45.59
3655.50,45.43
3655.00,45.31
3654.50,45.19
3654.00,45.06
3653.50,44.91
3653.00,44.78
3652.50,44.64
3652.00,44.49
3651.50,44.34
3651.00,44.19
3650.50,44.03
3650.00,43.87
3649.50,43.73
3649.00,43.61
3648.50,43.50
3648.00,43.40
3647.50,43.28
3647.00,43.18
3646.50,43.13
3646.00,43.12
3645.50,43.11
3645.00,43.09
3644.50,43.06
3644.00,43.03
3643.50,43.00
3643.00,42.98
3642.50,42.96
3642.00,42.95
3641.50,42.95
3641.00,42.96
3640.50,42.98
3640.00,43.00
3639.50,43.03
3639.00,43.07
3638.50,43.12
3638.00,43.17
3637.50,43.23
3637.00,43.29
3636.50,43.35
3636.00,43.41
3635.50,43.47
3635.00,43.54
3634.50,43.61
3634.00,43.70
3633.50,43.79
3633.00,43.88
3632.50,43.97
3632.00,44.05
3631.50,44.13
3631.00,44.21
3630.50,44.28
3630.00,44.37
3629.50,44.47
3629.00,44.55
3628.50,44.62
3628.00,44.69
3627.50,44.77
3627.00,44.84
3626.50,44.90
3626.00,44.96
3625.50,45.01
3625.00,45.07
3624.50,45.11
3624.00,45.15
3623.50,45.18
3623.00,45.22
3622.50,45.25
3622.00,45.27
3621.50,45.29
3621.00,45.30
3620.50,45.30
3620.00,45.28
3619.50,45.26
3619.00,45.25
3618.50,45.24
3618.00,45.23
3617.50,45.22
3617.00,45.22
3616.50,45.24
3616.00,45.25
3615.50,45.23
3615.00,45.18
3614.50,45.14
3614.00,45.10
3613.50,45.07
3613.00,45.00
3612.50,44.93
3612.00,44.88
3611.50,44.88
3611.00,44.88
3610.50,44.88
3610.00,44.82
3609.50,44.73
3609.00,44.64
3608.50,44.57
3608.00,44.52
3607.50,44.46
3607.00,44.39
3606.50,44.34
3606.00,44.30
3605.50,44.28
3605.00,44.24
3604.50,44.19
3604.00,44.13
3603.50,44.07
3603.00,44.01
3602.50,43.94
3602.00,43.88
3601.50,43.82
3601.00,43.76
3600.50,43.70
3600.00,43.64
3599.50,43.59
3599.00,43.52
3598.50,43.43
3598.00,43.36
3597.50,43.30
3597.00,43.26
3596.50,43.20
3596.00,43.13
3595.50,43.06
3595.00,43.01
3594.50,42.98
3594.00,42.95
3593.50,42.91
3593.00,42.87
3592.50,42.84
3592.00,42.82
3591.50,42.81
3591.00,42.80
3590.50,42.79
3590.00,42.78
3589.50,42.75
3589.00,42.71
3588.50,42.67
3588.00,42.64
3587.50,42.62
3587.00,42.59
3586.50,42.55
3586.00,42.54
3585.50,42.56
3585.00,42.59
3584.50,42.62
3584.00,42.66
3583.50,42.71
3583.00,42.79
3582.50,42.87
3582.00,42.96
3581.50,43.03
3581.00,43.10
3580.50,43.17
3580.00,43.23
3579.50,43.28
3579.00,43.34
3578.50,43.41
3578.00,43.47
3577.50,43.52
3577.00,43.57
3576.50,43.62
3576.00,43.67
3575.50,43.72
3575.00,43.78
3574.50,43.82
3574.00,43.87
3573.50,43.91
3573.00,43.96
3572.50,44.01
3572.00,44.06
3571.50,44.12
3571.00,44.18
3570.50,44.23
3570.00,44.29
3569.50,44.34
3569.00,44.38
3568.50,44.41
3568.00,44.44
3567.50,44.48
3567.00,44.52
3566.50,44.55
3566.00,44.57
3565.50,44.62
3565.00,44.69
3564.50,44.76
3564.00,44.81
3563.50,44.85
3563.00,44.89
3562.50,44.93
3562.00,44.98
3561.50,45.01
3561.00,45.03
3560.50,45.05
3560.00,45.06
3559.50,45.09
3559.00,45.12
3558.50,45.15
3558.00,45.18
3557.50,45.19
3557.00,45.21
3556.50,45.22
3556.00,45.24
3555.50,45.26
3555.00,45.28
3554.50,45.30
3554.00,45.31
3553.50,45.32
3553.00,45.33
3552.50,45.32
3552.00,45.31
3551.50,45.30
3551.00,45.30
3550.50,45.31
3550.00,45.32
3549.50,45.33
3549.00,45.34
3548.50,45.35
3548.00,45.35
3547.50,45.34
3547.00,45.33
3546.50,45.33
3546.00,45.33
3545.50,45.32
3545.00,45.30
3544.50,45.28
3544.00,45.27
3543.50,45.26
3543.00,45.25
3542.50,45.23
3542.00,45.22
3541.50,45.20
3541.00,45.19
3540.50,45.17
3540.00,45.16
3539.50,45.15
3539.00,45.14
3538.50,45.14
3538.00,45.15
3537.50,45.15
3537.00,45.13
3536.50,45.10
3536.00,45.06
3535.50,45.04
3535.00,45.03
3534.50,45.03
3534.00,45.02
3533.50,45.02
3533.00,45.01
3532.50,45.01
