Created as New Dataset,Sample 159 By irlear Date Thursday, June 06 2019
cm-1,%T
3824.50,72.20
3824.00,72.15
3823.50,72.09
3823.00,72.03
3822.50,71.97
3822.00,71.98
3821.50,72.03
3821.00,72.02
3820.50,71.96
3820.00,71.91
3819.50,71.87
3819.00,71.82
3818.50,71.75
3818.00,71.68
3817.50,71.62
3817.00,71.58
3816.50,71.53
3816.00,71.45
3815.50,71.37
3815.00,71.32
3814.50,71.28
3814.00,71.22
3813.50,71.15
3813.00,71.07
3812.50,70.98
3812.00,70.90
3811.50,70.81
3811.00,70.73
3810.50,70.64
3810.00,70.55
3809.50,70.46
3809.00,70.37
3808.50,70.28
3808.00,70.20
3807.50,70.13
3807.00,70.03
3806.50,69.92
3806.00,69.84
3805.50,69.78
3805.00,69.70
3804.50,69.60
3804.00,69.49
3803.50,69.40
3803.00,69.31
3802.50,69.24
3802.00,69.16
3801.50,69.03
3801.00,68.91
3800.50,68.83
3800.00,68.76
3799.50,68.69
3799.00,68.60
3798.50,68.49
3798.00,68.37
3797.50,68.24
3797.00,68.11
3796.50,67.96
3796.00,67.83
3795.50,67.71
3795.00,67.59
3794.50,67.47
3794.00,67.33
3793.50,67.17
3793.00,67.02
3792.50,66.85
3792.00,66.68
3791.50,66.51
3791.00,66.33
3790.50,66.14
3790.00,65.95
3789.50,65.74
3789.00,65.54
3788.50,65.34
3788.00,65.14
3787.50,64.94
3787.00,64.73
3786.50,64.53
3786.00,64.32
3785.50,64.11
3785.00,63.87
3784.50,63.64
3784.00,63.43
3783.50,63.24
3783.00,63.05
3782.50,62.86
3782.00,62.66
3781.50,62.47
3781.00,62.29
3780.50,62.09
3780.00,61.89
3779.50,61.68
3779.00,61.48
3778.50,61.32
3778.00,61.16
3777.50,61.01
3777.00,60.84
3776.50,60.67
3776.00,60.51
3775.50,60.35
3775.00,60.20
3774.50,60.04
3774.00,59.89
3773.50,59.74
3773.00,59.60
3772.50,59.47
3772.00,59.34
3771.50,59.22
3771.00,59.10
3770.50,58.97
3770.00,58.83
3769.50,58.70
3769.00,58.60
3768.50,58.52
3768.00,58.43
3767.50,58.34
3767.00,58.25
3766.50,58.17
3766.00,58.10
3765.50,58.04
3765.00,57.99
3764.50,57.95
3764.00,57.91
3763.50,57.87
3763.00,57.83
3762.50,57.79
3762.00,57.74
3761.50,57.70
3761.00,57.66
3760.50,57.65
3760.00,57.66
3759.50,57.68
3759.00,57.68
3758.50,57.67
3758.00,57.67
3757.50,57.68
3757.00,57.70
3756.50,57.73
3756.00,57.76
3755.50,57.78
3755.00,57.80
3754.50,57.80
3754.00,57.80
3753.50,57.82
3753.00,57.89
3752.50,58.02
3752.00,58.15
3751.50,58.24
3751.00,58.32
3750.50,58.41
3750.00,58.53
3749.50,58.64
3749.00,58.71
3748.50,58.78
3748.00,58.85
3747.50,58.91
3747.00,58.96
