Created as New Dataset,Sample 156 By irlear Date Wednesday, June 05 2019
cm-1,%T
3825.00,72.23
3824.50,72.20
3824.00,72.16
3823.50,72.12
3823.00,72.06
3822.50,71.99
3822.00,71.96
3821.50,71.97
3821.00,71.96
3820.50,71.93
3820.00,71.89
3819.50,71.85
3819.00,71.81
3818.50,71.77
3818.00,71.72
3817.50,71.67
3817.00,71.62
3816.50,71.57
3816.00,71.50
3815.50,71.42
3815.00,71.35
3814.50,71.28
3814.00,71.22
3813.50,71.16
3813.00,71.08
3812.50,71.00
3812.00,70.92
3811.50,70.84
3811.00,70.75
3810.50,70.67
3810.00,70.59
3809.50,70.51
3809.00,70.43
3808.50,70.34
3808.00,70.25
3807.50,70.15
3807.00,70.04
3806.50,69.92
3806.00,69.83
3805.50,69.75
3805.00,69.67
3804.50,69.59
3804.00,69.51
3803.50,69.42
3803.00,69.31
3802.50,69.20
3802.00,69.09
3801.50,68.98
3801.00,68.88
3800.50,68.81
3800.00,68.74
3799.50,68.66
3799.00,68.58
3798.50,68.48
3798.00,68.37
3797.50,68.24
3797.00,68.10
3796.50,67.96
3796.00,67.83
3795.50,67.71
3795.00,67.59
3794.50,67.47
3794.00,67.33
3793.50,67.18
3793.00,67.02
3792.50,66.85
3792.00,66.68
3791.50,66.50
3791.00,66.32
3790.50,66.13
3790.00,65.93
3789.50,65.73
3789.00,65.52
3788.50,65.32
3788.00,65.11
3787.50,64.90
3787.00,64.69
3786.50,64.47
3786.00,64.26
3785.50,64.03
3785.00,63.80
3784.50,63.57
3784.00,63.36
3783.50,63.17
3783.00,62.98
3782.50,62.78
3782.00,62.59
3781.50,62.41
3781.00,62.22
3780.50,62.03
3780.00,61.82
3779.50,61.59
3779.00,61.39
3778.50,61.21
3778.00,61.05
3777.50,60.90
3777.00,60.73
3776.50,60.57
3776.00,60.40
3775.50,60.24
3775.00,60.08
3774.50,59.92
3774.00,59.77
3773.50,59.62
3773.00,59.48
3772.50,59.35
3772.00,59.23
3771.50,59.10
3771.00,58.97
3770.50,58.82
3770.00,58.67
3769.50,58.55
3769.00,58.45
3768.50,58.37
3768.00,58.29
3767.50,58.20
3767.00,58.12
3766.50,58.03
3766.00,57.96
3765.50,57.89
3765.00,57.84
3764.50,57.79
3764.00,57.76
3763.50,57.72
3763.00,57.68
3762.50,57.65
3762.00,57.61
3761.50,57.57
3761.00,57.53
3760.50,57.52
3760.00,57.53
3759.50,57.54
3759.00,57.55
3758.50,57.54
3758.00,57.53
3757.50,57.54
3757.00,57.57
3756.50,57.60
3756.00,57.63
3755.50,57.65
3755.00,57.68
3754.50,57.70
3754.00,57.72
3753.50,57.73
3753.00,57.78
3752.50,57.89
3752.00,58.00
3751.50,58.07
3751.00,58.12
3750.50,58.19
3750.00,58.31
3749.50,58.46
3749.00,58.57
3748.50,58.65
3748.00,58.72
3747.50,58.80
3747.00,58.88
3746.50,58.94
3746.00,58.96
3745.50,59.02
3745.00,59.26
3744.50,59.56
3744.00,59.72
3743.50,59.80
3743.00,59.84
3742.50,59.91
3742.00,60.00
3741.50,60.12
3741.00,60.24
3740.50,60.33
3740.00,60.40
3739.50,60.46
3739.00,60.52
3738.50,60.58
3738.00,60.61
3737.50,60.62
3737.00,60.62
3736.50,60.61
3736.00,60.60
3735.50,60.57
3735.00,60.52
3734.50,60.48
3734.00,60.44
3733.50,60.39
3733.00,60.30
3732.50,60.17
3732.00,60.01
3731.50,59.85
3731.00,59.72
3730.50,59.59
3730.00,59.45
3729.50,59.29
3729.00,59.13
3728.50,58.95
3728.00,58.76
3727.50,58.55
3727.00,58.30
3726.50,58.05
3726.00,57.80
3725.50,57.57
3725.00,57.36
3724.50,57.16
3724.00,56.97
3723.50,56.76
3723.00,56.51
3722.50,56.23
3722.00,55.98
3721.50,55.78
3721.00,55.62
3720.50,55.46
3720.00,55.28
3719.50,55.07
3719.00,54.85
3718.50,54.65
3718.00,54.47
3717.50,54.30
3717.00,54.12
3716.50,53.92
3716.00,53.71
3715.50,53.50
3715.00,53.29
3714.50,53.10
3714.00,52.91
3713.50,52.69
3713.00,52.41
3712.50,52.06
3712.00,51.73
3711.50,51.49
3711.00,51.32
3710.50,51.13
3710.00,50.88
3709.50,50.61
3709.00,50.36
3708.50,50.17
3708.00,50.00
3707.50,49.83
3707.00,49.65
3706.50,49.47
3706.00,49.28
3705.50,49.11
3705.00,48.96
3704.50,48.83
3704.00,48.70
3703.50,48.58
3703.00,48.46
3702.50,48.34
3702.00,48.24
3701.50,48.17
3701.00,48.13
