4.001635e+002,-3.301977e-003
4.011277e+002,-3.980780e-003
4.020919e+002,-4.549267e-003
4.030562e+002,-5.021853e-003
4.040204e+002,-5.338761e-003
4.049847e+002,-5.396013e-003
4.059489e+002,-5.129203e-003
4.069132e+002,-4.569566e-003
4.078774e+002,-3.824902e-003
4.088417e+002,-3.003535e-003
4.098059e+002,-2.147942e-003
4.107702e+002,-1.238667e-003
4.117344e+002,-2.579695e-004
4.126987e+002,7.402024e-004
4.136629e+002,1.615239e-003
4.146272e+002,2.197062e-003
4.155914e+002,2.378352e-003
4.165557e+002,2.173976e-003
4.175199e+002,1.709422e-003
4.184842e+002,1.139697e-003
4.194484e+002,5.541361e-004
4.204127e+002,-5.806483e-005
4.213769e+002,-7.615162e-004
4.223412e+002,-1.597227e-003
4.233054e+002,-2.534863e-003
4.242697e+002,-3.489472e-003
4.252339e+002,-4.356254e-003
4.261982e+002,-5.035745e-003
4.271624e+002,-5.444456e-003
4.281267e+002,-5.525540e-003
4.290909e+002,-5.277085e-003
4.300552e+002,-4.753809e-003
4.310194e+002,-4.043007e-003
4.319837e+002,-3.225146e-003
4.329479e+002,-2.349087e-003
4.339122e+002,-1.437934e-003
4.348764e+002,-5.074011e-004
4.358407e+002,4.105597e-004
4.368049e+002,1.249445e-003
4.377692e+002,1.911071e-003
4.387334e+002,2.294649e-003
4.396977e+002,2.343697e-003
4.406619e+002,2.070472e-003
4.416262e+002,1.543242e-003
4.425904e+002,8.464959e-004
4.435547e+002,4.522724e-005
4.445189e+002,-8.203228e-004
4.454832e+002,-1.717185e-003
4.464474e+002,-2.598261e-003
4.474117e+002,-3.402295e-003
4.483759e+002,-4.078714e-003
4.493401e+002,-4.583097e-003
4.503044e+002,-4.901614e-003
4.512687e+002,-5.020353e-003
4.522329e+002,-4.907510e-003
4.531972e+002,-4.534542e-003
4.541614e+002,-3.926151e-003
4.551257e+002,-3.177187e-003
4.560899e+002,-2.410673e-003
4.570542e+002,-1.697727e-003
4.580184e+002,-1.020151e-003
4.589827e+002,-3.087256e-004
4.599469e+002,4.708579e-004
4.609112e+002,1.261958e-003
4.618754e+002,1.929881e-003
4.628397e+002,2.328008e-003
4.638039e+002,2.345964e-003
4.647682e+002,1.973752e-003
4.657324e+002,1.251090e-003
4.666967e+002,2.544113e-004
4.676609e+002,-9.252482e-004
4.686252e+002,-2.182963e-003
4.695894e+002,-3.409164e-003
4.705536e+002,-4.502915e-003
4.715179e+002,-5.394519e-003
4.724821e+002,-6.053976e-003
4.734464e+002,-6.472311e-003
4.744106e+002,-6.638475e-003
4.753749e+002,-6.528254e-003
4.763391e+002,-6.126197e-003
4.773034e+002,-5.451344e-003
4.782676e+002,-4.573665e-003
4.792319e+002,-3.619473e-003
4.801961e+002,-2.653113e-003
4.811604e+002,-1.735069e-003
4.821246e+002,-8.989152e-004
4.830889e+002,-1.752321e-004
4.840531e+002,3.896829e-004
4.850174e+002,7.330000e-004
4.859816e+002,7.923293e-004
4.869459e+002,5.265585e-004
4.879101e+002,-6.995680e-005
4.888744e+002,-9.604460e-004
4.898386e+002,-2.067934e-003
4.908029e+002,-3.296727e-003
4.917671e+002,-4.551634e-003
4.927314e+002,-5.744494e-003
4.936956e+002,-6.800134e-003
4.946599e+002,-7.758199e-003
4.956241e+002,-8.476240e-003
4.965884e+002,-8.958338e-003
4.975526e+002,-9.249735e-003
4.985169e+002,-9.402674e-003
4.994811e+002,-9.427800e-003
5.004454e+002,-9.284223e-003
5.014096e+002,-8.920072e-003
5.023739e+002,-8.333827e-003
5.033381e+002,-7.609302e-003
5.043024e+002,-6.887559e-003
5.052666e+002,-6.304428e-003
5.062309e+002,-5.947953e-003
5.071951e+002,-5.850745e-003
5.081594e+002,-6.012758e-003
5.091236e+002,-6.430186e-003
5.100879e+002,-7.312014e-003
5.110521e+002,-8.476568e-003
5.120164e+002,-9.910781e-003
5.129806e+002,-1.158124e-002
5.139449e+002,-1.343316e-002
5.149091e+002,-1.540089e-002
5.158734e+002,-1.741103e-002
5.168376e+002,-1.938148e-002
5.178019e+002,-2.121434e-002
5.187661e+002,-2.281229e-002
5.197303e+002,-2.410256e-002
5.206946e+002,-2.506302e-002
5.216589e+002,-2.572591e-002
5.226231e+002,-2.614756e-002
5.235873e+002,-2.637629e-002
5.245516e+002,-2.644785e-002
5.255159e+002,-2.660567e-002
5.264801e+002,-2.676008e-002
5.274443e+002,-2.703801e-002
5.284086e+002,-2.756554e-002
5.293729e+002,-2.843485e-002
5.303371e+002,-2.970317e-002
5.313013e+002,-3.141660e-002
5.322656e+002,-3.362143e-002
5.332299e+002,-3.633993e-002
5.341941e+002,-3.954707e-002
5.351583e+002,-4.315262e-002
5.361226e+002,-4.703229e-002
5.370869e+002,-5.107098e-002
5.380511e+002,-5.519036e-002
5.390153e+002,-5.935428e-002
5.399796e+002,-6.353281e-002
5.409438e+002,-6.714738e-002
5.419081e+002,-7.056335e-002
5.428723e+002,-7.363805e-002
5.438366e+002,-7.628992e-002
5.448008e+002,-7.856430e-002
5.457651e+002,-8.064795e-002
5.467293e+002,-8.277366e-002
5.476936e+002,-8.511925e-002
5.486578e+002,-8.776411e-002
5.496221e+002,-9.075971e-002
5.505864e+002,-9.421739e-002
5.515506e+002,-9.833209e-002
5.525148e+002,-1.033222e-001
5.534791e+002,-1.093651e-001
5.544434e+002,-1.165923e-001
5.554076e+002,-1.251564e-001
5.563718e+002,-1.323131e-001
5.573361e+002,-1.406488e-001
5.583004e+002,-1.500608e-001
5.592646e+002,-1.602399e-001
