Created as New Dataset,Sample 044 By irlear Date Thursday, January 08 2009
cm-1,A
3926.50,0.0185
3926.25,0.0185
3926.00,0.0184
3925.75,0.0184
3925.50,0.0184
3925.25,0.0185
3925.00,0.0185
3924.75,0.0185
3924.50,0.0185
3924.25,0.0186
3924.00,0.0187
3923.75,0.0188
3923.50,0.0189
3923.25,0.0190
3923.00,0.0191
3922.75,0.0191
3922.50,0.0190
3922.25,0.0188
3922.00,0.0185
3921.75,0.0182
3921.50,0.0181
3921.25,0.0181
3921.00,0.0183
3920.75,0.0185
3920.50,0.0187
3920.25,0.0188
3920.00,0.0189
3919.75,0.0188
3919.50,0.0187
3919.25,0.0187
3919.00,0.0187
3918.75,0.0188
3918.50,0.0188
3918.25,0.0187
3918.00,0.0187
3917.75,0.0186
3917.50,0.0186
3917.25,0.0187
3917.00,0.0187
3916.75,0.0187
3916.50,0.0187
3916.25,0.0187
3916.00,0.0187
3915.75,0.0188
3915.50,0.0189
3915.25,0.0189
3915.00,0.0188
3914.75,0.0186
3914.50,0.0185
3914.25,0.0184
3914.00,0.0184
3913.75,0.0183
3913.50,0.0183
3913.25,0.0184
3913.00,0.0184
3912.75,0.0185
3912.50,0.0186
3912.25,0.0186
3912.00,0.0186
3911.75,0.0186
3911.50,0.0187
3911.25,0.0187
3911.00,0.0188
3910.75,0.0188
3910.50,0.0187
3910.25,0.0187
3910.00,0.0187
3909.75,0.0187
3909.50,0.0187
3909.25,0.0186
3909.00,0.0185
3908.75,0.0185
3908.50,0.0185
3908.25,0.0185
3908.00,0.0185
3907.75,0.0185
3907.50,0.0185
3907.25,0.0186
3907.00,0.0186
3906.75,0.0187
3906.50,0.0186
3906.25,0.0186
3906.00,0.0186
3905.75,0.0187
3905.50,0.0187
3905.25,0.0186
3905.00,0.0186
3904.75,0.0186
3904.50,0.0188
3904.25,0.0191
3904.00,0.0195
3903.75,0.0196
3903.50,0.0196
3903.25,0.0195
3903.00,0.0195
3902.75,0.0195
3902.50,0.0196
3902.25,0.0198
3902.00,0.0199
3901.75,0.0198
3901.50,0.0195
3901.25,0.0193
3901.00,0.0192
3900.75,0.0191
3900.50,0.0190
3900.25,0.0190
3900.00,0.0189
3899.75,0.0189
3899.50,0.0189
3899.25,0.0189
3899.00,0.0190
3898.75,0.0190
3898.50,0.0190
3898.25,0.0189
3898.00,0.0188
3897.75,0.0187
3897.50,0.0187
3897.25,0.0186
3897.00,0.0185
3896.75,0.0184
3896.50,0.0184
3896.25,0.0184
3896.00,0.0185
3895.75,0.0187
3895.50,0.0188
3895.25,0.0189
3895.00,0.0190
3894.75,0.0190
3894.50,0.0190
3894.25,0.0189
3894.00,0.0188
3893.75,0.0187
3893.50,0.0186
3893.25,0.0185
3893.00,0.0185
3892.75,0.0185
3892.50,0.0186
3892.25,0.0186
3892.00,0.0187
3891.75,0.0189
3891.50,0.0191
3891.25,0.0192
3891.00,0.0192
3890.75,0.0191
3890.50,0.0191
3890.25,0.0191
3890.00,0.0191
3889.75,0.0191
3889.50,0.0191
3889.25,0.0190
3889.00,0.0188
3888.75,0.0186
3888.50,0.0185
3888.25,0.0183
3888.00,0.0183
3887.75,0.0183
3887.50,0.0185
3887.25,0.0186
3887.00,0.0188
3886.75,0.0189
3886.50,0.0191
3886.25,0.0192
3886.00,0.0193
3885.75,0.0193
3885.50,0.0192
3885.25,0.0190
3885.00,0.0189
3884.75,0.0189
3884.50,0.0188
3884.25,0.0188
3884.00,0.0187
3883.75,0.0187
3883.50,0.0187
3883.25,0.0187
3883.00,0.0189
3882.75,0.0190
3882.50,0.0191
3882.25,0.0190
3882.00,0.0190
3881.75,0.0189
3881.50,0.0189
3881.25,0.0189
3881.00,0.0190
3880.75,0.0189
3880.50,0.0187
3880.25,0.0184
3880.00,0.0181
3879.75,0.0180
3879.50,0.0181
3879.25,0.0183
3879.00,0.0185
3878.75,0.0186
3878.50,0.0186
3878.25,0.0186
3878.00,0.0185
3877.75,0.0184
3877.50,0.0184
3877.25,0.0184
3877.00,0.0184
3876.75,0.0185
3876.50,0.0184
3876.25,0.0183
3876.00,0.0182
3875.75,0.0182
3875.50,0.0183
3875.25,0.0184
3875.00,0.0186
3874.75,0.0187
3874.50,0.0189
3874.25,0.0190
3874.00,0.0190
3873.75,0.0190
3873.50,0.0190
3873.25,0.0190
3873.00,0.0190
3872.75,0.0190
3872.50,0.0189
3872.25,0.0189
3872.00,0.0188
3871.75,0.0187
3871.50,0.0186
3871.25,0.0185
3871.00,0.0185
3870.75,0.0185
3870.50,0.0187
3870.25,0.0191
3870.00,0.0197
3869.75,0.0203
3869.50,0.0206
3869.25,0.0205
3869.00,0.0201
3868.75,0.0197
3868.50,0.0193
3868.25,0.0189
3868.00,0.0187
3867.75,0.0186
3867.50,0.0185
3867.25,0.0185
3867.00,0.0186
3866.75,0.0186
3866.50,0.0185
3866.25,0.0185
3866.00,0.0184
3865.75,0.0184
3865.50,0.0184
3865.25,0.0184
3865.00,0.0183
3864.75,0.0182
3864.50,0.0182
3864.25,0.0183
3864.00,0.0185
3863.75,0.0186
3863.50,0.0186
3863.25,0.0186
3863.00,0.0186
3862.75,0.0187
3862.50,0.0188
3862.25,0.0190
3862.00,0.0191
3861.75,0.0191
3861.50,0.0192
3861.25,0.0193
3861.00,0.0193
3860.75,0.0193
3860.50,0.0192
3860.25,0.0190
3860.00,0.0188
3859.75,0.0186
3859.50,0.0185
3859.25,0.0184
3859.00,0.0184
3858.75,0.0183
3858.50,0.0182
3858.25,0.0182
3858.00,0.0183
3857.75,0.0183
3857.50,0.0184
3857.25,0.0186
3857.00,0.0188
3856.75,0.0189
3856.50,0.0189
3856.25,0.0187
3856.00,0.0186
3855.75,0.0184
3855.50,0.0183
3855.25,0.0182
3855.00,0.0183
3854.75,0.0186
3854.50,0.0193
3854.25,0.0204
3854.00,0.0214
3853.75,0.0215
3853.50,0.0209
3853.25,0.0203
3853.00,0.0198
3852.75,0.0194
3852.50,0.0190
3852.25,0.0184
3852.00,0.0178
3851.75,0.0176
3851.50,0.0180
3851.25,0.0185
3851.00,0.0188
3850.75,0.0191
3850.50,0.0191
3850.25,0.0190
3850.00,0.0188
3849.75,0.0186
3849.50,0.0184
3849.25,0.0183
3849.00,0.0184
3848.75,0.0186
3848.50,0.0188
3848.25,0.0190
3848.00,0.0190
3847.75,0.0189
3847.50,0.0187
3847.25,0.0185
3847.00,0.0184
3846.75,0.0183
3846.50,0.0183
3846.25,0.0183
3846.00,0.0183
3845.75,0.0183
3845.50,0.0184
3845.25,0.0186
3845.00,0.0187
3844.75,0.0188
3844.50,0.0186
3844.25,0.0184
3844.00,0.0181
3843.75,0.0180
3843.50,0.0182
3843.25,0.0186
3843.00,0.0189
3842.75,0.0191
3842.50,0.0191
3842.25,0.0190
3842.00,0.0188
3841.75,0.0187
3841.50,0.0186
3841.25,0.0186
3841.00,0.0186
3840.75,0.0188
3840.50,0.0189
3840.25,0.0189
3840.00,0.0188
3839.75,0.0188
3839.50,0.0189
3839.25,0.0190
3839.00,0.0191
3838.75,0.0190
3838.50,0.0189
3838.25,0.0189
3838.00,0.0191
3837.75,0.0194
3837.50,0.0192
3837.25,0.0187
3837.00,0.0185
3836.75,0.0184
3836.50,0.0185
3836.25,0.0186
3836.00,0.0186
3835.75,0.0184
3835.50,0.0182
3835.25,0.0180
3835.00,0.0179
3834.75,0.0181
3834.50,0.0185
3834.25,0.0188
3834.00,0.0189
3833.75,0.0188
3833.50,0.0187
3833.25,0.0186
3833.00,0.0187
3832.75,0.0187
3832.50,0.0186
3832.25,0.0185
3832.00,0.0184
3831.75,0.0183
3831.50,0.0182
3831.25,0.0184
3831.00,0.0187
3830.75,0.0190
3830.50,0.0192
3830.25,0.0193
3830.00,0.0193
3829.75,0.0192
3829.50,0.0190
3829.25,0.0188
3829.00,0.0187
3828.75,0.0187
3828.50,0.0186
3828.25,0.0186
3828.00,0.0185
3827.75,0.0184
3827.50,0.0183
3827.25,0.0181
3827.00,0.0180
3826.75,0.0179
3826.50,0.0179
3826.25,0.0181
3826.00,0.0182
3825.75,0.0183
3825.50,0.0184
3825.25,0.0184
3825.00,0.0184
3824.75,0.0185
3824.50,0.0185
3824.25,0.0185
3824.00,0.0185
3823.75,0.0185
3823.50,0.0186
3823.25,0.0185
3823.00,0.0185
3822.75,0.0184
3822.50,0.0184
3822.25,0.0184
3822.00,0.0186
3821.75,0.0188
3821.50,0.0188
3821.25,0.0187
3821.00,0.0185
3820.75,0.0184
3820.50,0.0183
3820.25,0.0184
3820.00,0.0185
3819.75,0.0185
3819.50,0.0184
3819.25,0.0184
3819.00,0.0184
3818.75,0.0185
3818.50,0.0186
3818.25,0.0188
3818.00,0.0189
3817.75,0.0189
3817.50,0.0189
3817.25,0.0186
3817.00,0.0183
3816.75,0.0178
3816.50,0.0173
3816.25,0.0169
3816.00,0.0168
3815.75,0.0171
3815.50,0.0177
3815.25,0.0181
3815.00,0.0184
3814.75,0.0186
3814.50,0.0187
3814.25,0.0188
3814.00,0.0188
3813.75,0.0187
3813.50,0.0186
3813.25,0.0185
3813.00,0.0185
3812.75,0.0185
3812.50,0.0185
3812.25,0.0185
3812.00,0.0185
3811.75,0.0184
3811.50,0.0183
3811.25,0.0183
3811.00,0.0184
3810.75,0.0186
3810.50,0.0187
3810.25,0.0188
3810.00,0.0189
3809.75,0.0190
3809.50,0.0190
3809.25,0.0191
3809.00,0.0190
3808.75,0.0189
3808.50,0.0187
3808.25,0.0185
3808.00,0.0182
3807.75,0.0180
3807.50,0.0179
3807.25,0.0181
3807.00,0.0183
3806.75,0.0186
3806.50,0.0187
3806.25,0.0188
3806.00,0.0188
