Created as New Dataset,Sample 034 By irlear Date Friday, April 17 2009
cm-1,A
4000.00,0.0027
3999.75,0.0026
3999.50,0.0026
3999.25,0.0027
3999.00,0.0027
3998.75,0.0027
3998.50,0.0026
3998.25,0.0026
3998.00,0.0026
3997.75,0.0026
3997.50,0.0026
3997.25,0.0026
3997.00,0.0026
3996.75,0.0026
3996.50,0.0026
3996.25,0.0026
3996.00,0.0026
3995.75,0.0026
3995.50,0.0027
3995.25,0.0026
3995.00,0.0026
3994.75,0.0026
3994.50,0.0026
3994.25,0.0026
3994.00,0.0026
3993.75,0.0026
3993.50,0.0026
3993.25,0.0026
3993.00,0.0026
3992.75,0.0026
3992.50,0.0026
3992.25,0.0026
3992.00,0.0026
3991.75,0.0026
3991.50,0.0026
3991.25,0.0026
3991.00,0.0026
3990.75,0.0026
3990.50,0.0026
3990.25,0.0026
3990.00,0.0026
3989.75,0.0026
3989.50,0.0026
3989.25,0.0027
3989.00,0.0027
3988.75,0.0027
3988.50,0.0026
3988.25,0.0026
3988.00,0.0026
3987.75,0.0026
3987.50,0.0026
3987.25,0.0026
3987.00,0.0026
3986.75,0.0026
3986.50,0.0026
3986.25,0.0027
3986.00,0.0026
3985.75,0.0026
3985.50,0.0026
3985.25,0.0026
3985.00,0.0025
3984.75,0.0025
3984.50,0.0025
3984.25,0.0025
3984.00,0.0025
3983.75,0.0026
3983.50,0.0026
3983.25,0.0026
3983.00,0.0026
3982.75,0.0026
3982.50,0.0026
3982.25,0.0026
3982.00,0.0026
3981.75,0.0026
3981.50,0.0026
3981.25,0.0026
3981.00,0.0026
3980.75,0.0026
3980.50,0.0026
3980.25,0.0026
3980.00,0.0025
3979.75,0.0025
3979.50,0.0025
3979.25,0.0025
3979.00,0.0025
3978.75,0.0026
3978.50,0.0026
3978.25,0.0026
3978.00,0.0026
3977.75,0.0026
3977.50,0.0026
3977.25,0.0026
3977.00,0.0026
3976.75,0.0026
3976.50,0.0026
3976.25,0.0026
3976.00,0.0026
3975.75,0.0026
3975.50,0.0026
3975.25,0.0026
3975.00,0.0026
3974.75,0.0025
3974.50,0.0025
3974.25,0.0025
3974.00,0.0025
3973.75,0.0026
3973.50,0.0026
3973.25,0.0026
3973.00,0.0026
3972.75,0.0025
3972.50,0.0025
3972.25,0.0025
3972.00,0.0025
3971.75,0.0026
3971.50,0.0026
3971.25,0.0026
3971.00,0.0026
3970.75,0.0026
3970.50,0.0026
3970.25,0.0026
3970.00,0.0025
3969.75,0.0025
3969.50,0.0025
3969.25,0.0025
3969.00,0.0025
3968.75,0.0025
3968.50,0.0026
3968.25,0.0026
3968.00,0.0026
3967.75,0.0025
3967.50,0.0025
3967.25,0.0025
3967.00,0.0025
3966.75,0.0025
3966.50,0.0026
3966.25,0.0026
3966.00,0.0026
3965.75,0.0025
3965.50,0.0025
3965.25,0.0025
3965.00,0.0026
3964.75,0.0026
3964.50,0.0026
3964.25,0.0026
3964.00,0.0025
3963.75,0.0025
3963.50,0.0025
3963.25,0.0025
3963.00,0.0025
3962.75,0.0025
3962.50,0.0025
3962.25,0.0025
3962.00,0.0025
3961.75,0.0025
3961.50,0.0025
3961.25,0.0025
3961.00,0.0025
3960.75,0.0025
3960.50,0.0025
3960.25,0.0025
3960.00,0.0025
3959.75,0.0025
3959.50,0.0025
3959.25,0.0025
3959.00,0.0025
3958.75,0.0025
3958.50,0.0025
3958.25,0.0025
3958.00,0.0025
3957.75,0.0025
3957.50,0.0025
3957.25,0.0025
3957.00,0.0025
3956.75,0.0025
3956.50,0.0025
3956.25,0.0025
3956.00,0.0025
3955.75,0.0025
3955.50,0.0025
3955.25,0.0025
3955.00,0.0025
3954.75,0.0025
3954.50,0.0025
3954.25,0.0026
3954.00,0.0025
3953.75,0.0025
3953.50,0.0025
3953.25,0.0025
3953.00,0.0025
3952.75,0.0025
3952.50,0.0025
3952.25,0.0025
3952.00,0.0025
3951.75,0.0025
3951.50,0.0025
3951.25,0.0025
3951.00,0.0025
3950.75,0.0025
3950.50,0.0024
3950.25,0.0024
3950.00,0.0024
3949.75,0.0024
3949.50,0.0024
3949.25,0.0025
3949.00,0.0025
3948.75,0.0024
3948.50,0.0024
3948.25,0.0024
3948.00,0.0025
3947.75,0.0025
3947.50,0.0025
3947.25,0.0025
3947.00,0.0025
3946.75,0.0025
3946.50,0.0025
3946.25,0.0025
3946.00,0.0025
3945.75,0.0025
3945.50,0.0025
3945.25,0.0025
3945.00,0.0025
3944.75,0.0025
3944.50,0.0025
3944.25,0.0025
