Created as New Dataset,Sample 011 By irlear Date Monday, July 06 2009
cm-1,A
4000.00,0.0395
3999.50,0.0395
3999.00,0.0395
3998.50,0.0395
3998.00,0.0395
3997.50,0.0395
3997.00,0.0395
3996.50,0.0395
3996.00,0.0395
3995.50,0.0395
3995.00,0.0395
3994.50,0.0395
3994.00,0.0395
3993.50,0.0395
3993.00,0.0395
3992.50,0.0395
3992.00,0.0395
3991.50,0.0395
3991.00,0.0394
3990.50,0.0394
3990.00,0.0394
3989.50,0.0394
3989.00,0.0394
3988.50,0.0394
3988.00,0.0394
3987.50,0.0394
3987.00,0.0394
3986.50,0.0394
3986.00,0.0393
3985.50,0.0393
3985.00,0.0393
3984.50,0.0393
3984.00,0.0393
3983.50,0.0393
3983.00,0.0393
3982.50,0.0393
3982.00,0.0393
3981.50,0.0393
3981.00,0.0393
3980.50,0.0393
3980.00,0.0393
3979.50,0.0393
3979.00,0.0393
3978.50,0.0393
3978.00,0.0392
3977.50,0.0392
3977.00,0.0393
3976.50,0.0393
3976.00,0.0393
3975.50,0.0392
3975.00,0.0392
3974.50,0.0392
3974.00,0.0392
3973.50,0.0392
3973.00,0.0392
3972.50,0.0392
3972.00,0.0392
3971.50,0.0392
3971.00,0.0392
3970.50,0.0392
3970.00,0.0392
3969.50,0.0392
3969.00,0.0392
3968.50,0.0392
3968.00,0.0391
3967.50,0.0391
3967.00,0.0391
3966.50,0.0392
3966.00,0.0392
3965.50,0.0392
3965.00,0.0392
3964.50,0.0391
3964.00,0.0391
3963.50,0.0391
3963.00,0.0391
3962.50,0.0391
3962.00,0.0391
3961.50,0.0391
3961.00,0.0390
3960.50,0.0390
3960.00,0.0390
3959.50,0.0391
3959.00,0.0391
3958.50,0.0391
3958.00,0.0391
3957.50,0.0391
3957.00,0.0391
3956.50,0.0390
3956.00,0.0390
3955.50,0.0390
3955.00,0.0390
3954.50,0.0390
3954.00,0.0390
3953.50,0.0390
3953.00,0.0390
3952.50,0.0390
3952.00,0.0390
3951.50,0.0390
3951.00,0.0389
3950.50,0.0389
3950.00,0.0389
3949.50,0.0389
