cm-1,AuNP_0,AuNP_60,AuNP_120,AuNP_180,AuNP_240,AuNP_300,AuNP_600
400.0,0.23712798666157797,0.24322704226747957,0.27340100225075814,0.34215211833977965,0.5216935201694924,0.2418327958035937,0.3325055499916488
400.5,0.25482238163372833,0.21517394058344025,0.3082644495705603,0.29340383524488534,0.5273396046920765,0.29828040339451234,0.33487618438489747
401.0,0.2858154532441636,0.22019104609256582,0.35351701748120956,0.2574902095467361,0.516370250066234,0.31270207439942826,0.3302181131325433
401.5,0.33593494667398616,0.23316757731984405,0.3209103125530273,0.2610706077968745,0.5020139085434072,0.2460717075443862,0.3280082316178785
402.0,0.38644211391552474,0.24463922628312035,0.2798848000386315,0.30035180552454505,0.4821233524061358,0.22574550241627012,0.3302181131325433
402.5,0.42165103916520175,0.26791450285972984,0.27340100225075814,0.36776646985113726,0.4752215380623326,0.2277509934553517,0.3302181131325433
403.0,0.38644211391552474,0.30266142726031536,0.2872074131326529,0.3601991412278642,0.546677447276307,0.2379245377329406,0.3092556003745495
403.5,0.3530733963246873,0.29428713719887495,0.29339589271397903,0.38683461439123,0.516370250066234,0.22878465049362476,0.29470992944027746
404.0,0.3468474390090941,0.25406613744679396,0.3028630858404542,0.3372211152143881,0.45181615420106436,0.22196026423316698,0.29470992944027746
404.5,0.32237129752806554,0.24051669477546733,0.3326775310363111,0.30287092195608034,0.45181615420106436,0.23547865801334922,0.3030427813082542
405.0,0.2986651817019932,0.24322704226747957,0.32456780246755806,0.30287092195608034,0.5020139085434072,0.267894459054393,0.3161235532019252
405.5,0.28941212920581666,0.24758885449663207,0.32456780246755806,0.30827222497255924,0.5622355065569007,0.29828040339451234,0.3398929099614037
406.0,0.301568909131568,0.25072295105358633,0.3284777267432458,0.32848527493940627,0.591893697323501,0.3330282772339883,0.4064895114194832
406.5,0.32237129752806554,0.26150631608200936,0.3284777267432458,0.34755342109866405,0.5809243433444075,0.3330282772339883,0.47810282879699584
407.0,0.3439437116440678,0.2702465147938542,0.3326775310363111,0.29340383524488534,0.5333501979619373,0.27795419916743624,0.39340874051346764
407.5,0.39835192442067413,0.26150631608200936,0.3284777267432458,0.28920407800371883,0.5273396046920765,0.26566606601161447,0.3776885294884353
408.0,0.40523440052855614,0.24758885449663207,0.3372136652138942,0.32848527493940627,0.5809243433444075,0.27795419916743624,0.4329198578363722
408.5,0.39212596740200406,0.24051669477546733,0.32456780246755806,0.3372211152143881,0.6043297249882505,0.31270207439942826,0.45935020244256
409.0,0.39212596740200406,0.24758885449663207,0.32456780246755806,0.32848527493940627,0.6186860650327939,0.34216816301116215,0.4064895114194832
409.5,0.35995587279547553,0.2656861708265651,0.3421447237664826,0.35352428422508503,0.6564477841341846,0.27795419916743624,0.4329198578363722
410.0,0.39835192442067413,0.2702465147938542,0.36019194951306566,0.35352428422508503,0.6356660108589003,0.25762799447618806,0.42287150665717704
410.5,0.4436304492505061,0.28387833877214463,0.3372136652138942,0.3372211152143881,0.591893697323501,0.25234620971261784,0.41416722876588496
411.0,0.40523440052855614,0.3330465377860926,0.32456780246755806,0.3209179458101441,0.5333501979619373,0.25404571448636987,0.399621559135318
411.5,0.43172063983407494,0.3421861733287291,0.3372136652138942,0.3174823007497622,0.49768141233800134,0.2614860968266072,0.373191211269868
412.0,0.38644211391552474,0.3677934561104112,0.3421447237664826,0.34755342109866405,0.49768141233800134,0.2752437775419751,0.4064895114194832
412.5,0.36368963808844357,0.3677934561104112,0.3142353801276197,0.38683461439123,0.5216935201694924,0.27795419916743624,0.44480453444162416
413.0,0.36764982684886055,0.3330465377860926,0.3028630858404542,0.376502309451467,0.5809243433444075,0.27795419916743624,0.39340874051346764
413.5,0.3498862710897278,0.3127208914484174,0.2979320270732013,0.3326850320248838,0.591893697323501,0.2808195840869818,0.38251927684563247
414.0,0.3384969656372063,0.29057216272293285,0.28919608826522303,0.30550724791395206,0.5397756331883605,0.31860660692533044,0.42287150665717704
414.5,0.33593494667398616,0.2871136042108064,0.28528616385460337,0.30827222497255924,0.5333501979619373,0.31270207439942826,0.47810282879699584
415.0,0.3468474390090941,0.2871136042108064,0.2956185864464147,0.35352428422508503,0.6356660108589003,0.2808195840869818,0.45935020244256
415.5,0.35995587279547553,0.2702465147938542,0.2979320270732013,0.39948033310366077,0.6186860650327939,0.28385873204146733,0.42287150665717704
416.0,0.36764982684886055,0.25072295105358633,0.2912570945166099,0.36776646985113726,0.5273396046920765,0.2905527392627954,0.36503241928822155
416.5,0.38121347552370105,0.24463922628312035,0.2956185864464147,0.34215211833977965,0.4935415364064935,0.2752437775419751,0.3453281619103718
417.0,0.35995587279547553,0.24913141365949643,0.3475460872389913,0.32457539461293156,0.4786085249285195,0.25404571448636987,0.3398929099614037
417.5,0.33109398343982166,0.24758885449663207,0.3421447237664826,0.30287092195608034,0.5216935201694924,0.24461854522282533,0.31090594832534285
418.0,0.3265871544788258,0.23670758071491002,0.3028630858404542,0.28343597240911317,0.5622355065569007,0.2507024365598952,0.2861688177486891
418.5,0.3244452212588654,0.2320410306369539,0.2979320270732013,0.2718978589179403,0.4443616267377553,0.24756825419435494,0.2682795798365539
419.0,0.30779486659562294,0.23670758071491002,0.28919608826522303,0.247934227242142,0.40118822799511716,0.2210569859143133,0.2601207874459019
419.5,0.33346963107058275,0.2418535531329728,0.3284777267432458,0.254122637375064,0.41405442820101757,0.22196026423316698,0.26915456294630336
420.0,0.43172063983407494,0.24758885449663207,0.3209103125530273,0.29793991861602676,0.46574232494515644,0.24911085559102356,0.2921533169566576
