,CB-5e-3_0,CB-5e-3_1,CB-5e-3_5,CB-5e-3_10,CB-5e-3_20,CB-5e-3_30,CB-5e-3_120
Si-CH3,10.327644713082535,8.163650932405972,8.890486837413661,8.994886204818137,6.899912487900863,9.731089086259907,17.52077723885326
Si-H (bend),4.008781622085245,4.232884333088911,4.601350112291087,3.6209897150020147,-1.3993326753340725,3.7246725161737686,1.4934463053766187
Si-O-Si,157.92008402884434,139.01191799779986,156.2067317681745,151.00392356226058,141.99544874985378,151.91254397933628,111.8941539606663
Si-H (stretch),0.2836437810718042,-0.24545940568646873,-0.3084582508244189,-0.7440791339818684,-0.36171717449787977,-0.4047536366129769,-0.21405298528715822
CH3,13.998420848343288,12.25193162517619,12.547894457860181,12.332880796648313,13.250375448618184,12.84138651545206,14.308778950852657
vinyl (C=C),-0.022190315721184538,-0.0070857558667613285,-0.008844480826535876,0.00031599221320090243,-0.015135821024690688,-0.0037032887578883553,-0.025112400346643915
