,CB-5e-3_0,no-agent_0,CB-5e-3_10,no-agent_10,CB-5e-3_20,no-agent_20,CB-5e-3_30,no-agent_30,CB-5e-3_40,no-agent_40,CB-5e-3_50,no-agent_50,CB-5e-3_60,CB-5e-3_120,no-agent_120,CB-5e-3_180,no-agent_180,CB-5e-3_300,no-agent_300,CB-5e-3_450,no-agent_450,CB-5e-3_600,no-agent_600,CB-5e-3_900,no-agent_900,CB-5e-3_1200,no-agent_1200,no-agent_1500,CB-5e-3_1800
Si-CH3,20.046208493392207,22.015622587334477,20.001405959442277,22.22942430955461,20.00821089566414,22.096474539313288,20.155168228559464,22.179409780895,20.24821537718558,22.20450125991805,20.268856999011017,22.14521721128457,20.28896529315969,20.200833130281396,22.18100008070762,19.912667896016046,22.183691568684342,19.983568583906127,22.05412246069493,19.940396196778746,22.031960071460933,20.25194903366619,21.83110583039777,20.346049346969753,21.80505141183204,20.532206687557736,21.93450357452524,21.79597966235512,20.492936930012284
Si-H (bend),1.621170050766498,1.6765963888066864,1.4798279876240095,1.71500679380733,1.4361229984491288,1.6767318805512303,1.4315213599097127,1.6432735694405984,1.278247321346349,1.668877538921123,1.1678742477770285,1.6295133275180333,1.1817562924817295,1.1116909586207484,1.5853494010369538,1.1243328526388012,1.602303986008664,0.8444895812352868,1.5703593822233337,0.6088272541831508,1.5123315632926193,0.7504942781505299,1.400389591176296,0.8182566539270333,1.3508035339862055,0.820530363829107,1.3570212615744133,1.3458329873435702,0.7311537342942671
Si-O-Si,108.99617366670017,114.43503450732058,108.7001868463672,114.91420207621796,108.64824938138928,114.92397947150111,109.16275443190456,115.07496983976043,109.6028244474676,114.98505395612037,109.81721604733895,115.01938532724239,109.8270882519889,109.97088884569192,115.38809100418712,109.28545132124482,115.48351104935534,110.53481622517955,115.19770998390328,111.36103317256288,115.33961425230919,111.2685306482309,114.71405497705499,110.49480515151166,114.99588546645026,111.36165113238329,115.2609829164964,114.91629746483491,111.68987109376528
Si-H (stretch),1.0624426717615711,0.956892802049234,0.9394808754596919,0.9116522828372485,0.9206509790005984,0.9277701912878469,0.8845504685136114,0.8676889687708411,0.8317669750183516,0.8684295349844141,0.7700640032297571,0.8659785225527847,0.7850954974136126,0.7613989571068946,0.8463483859670895,0.7781773692519927,0.8321185689009101,0.5939544299414975,0.8258450808265205,0.48607492427424015,0.792601981093962,0.46847109713092977,0.7533548381401636,0.31987610632393904,0.7260597349270554,0.2624119614534802,0.6903822523940684,0.6605059871886281,0.2510019713775328
CH3,7.384796977560253,6.182572303579994,7.2580023337225645,6.152572363428332,7.2165366162528235,6.185021555762139,7.1904080312570535,6.221857289171428,6.952069068422824,6.074807502461423,6.664450959568891,6.085782359138008,6.721526016701182,6.854984223775206,6.137027090138605,7.045554310044963,6.152349933913777,6.748308281764588,6.028825768051418,6.5482670445453985,6.093809636881993,6.518720648592839,6.045487743046661,6.82203662759644,6.00652019878226,6.800320844133458,6.058392154729132,6.000255022241592,6.621041378726594
vinyl (C=C),-0.008691577903389133,-0.007069082536294152,-0.009552048170827401,-0.005233260532928635,-0.009506039050819926,-0.0070647123976000925,-0.008814725419003189,-0.008216257307206279,-0.006582903303157368,-0.005749677355960242,-0.008625498783091858,-0.007545898455192983,-0.007461555190293567,-0.00787092833993596,-0.005730849370153709,-0.008109343629366522,-0.007182367413236218,-0.007631434995069866,-0.008060016126586578,-0.006166520171997515,-0.008267635302784973,-0.008794746779189622,-0.005450926110305551,-0.005698501332741274,-0.006962121498220217,-0.006994891122085213,-0.007053106040801893,-0.007447545068004727,-0.005707383910098368
