,CB-5e-5_0,CB-5e-5_1,CB-5e-5_2,CB-5e-5_3,CB-5e-5_4,CB-5e-5_5,CB-5e-5_6,CB-5e-5_7,CB-5e-5_8,CB-5e-5_9
Si-CH3,10.316153542610685,10.284296087975278,8.813400011925275,9.78536530688401,8.015656907101175,9.188417411887173,6.981295853869042,16.851554878307468,17.66785235587942,2.5232139710491026
Si-H (bend),3.7787678414479373,3.9360583486543774,3.508011109411182,3.6117276638131735,3.974093809645751,3.7459994185699586,4.133037413478682,1.800549854245883,3.2092968750427318,-3.1545992087206898
Si-O-Si,155.73398541183786,156.50934478212602,136.15431237250405,144.86622330463646,129.28860173234375,145.60414356727486,128.53727626345733,118.90350846193894,142.75250299634178,65.54211786126882
Si-H (stretch),0.4235859765960619,0.20375521012926967,-0.3439287834935536,0.02034221618920018,-0.256309246812644,-0.35652099523244996,-0.23914457372573317,-0.3518948422040644,-0.07105897126776117,-0.7722255216507659
CH3,12.9207074410386,12.975944608485566,12.521453294987724,12.699415287608362,12.120940610267002,11.650867391321448,12.834586876018726,12.5477187023497,12.10709561083518,12.531037128607355
vinyl (C=C),-0.014419019263888843,-0.013394948895673511,-0.008444963775169845,-0.022715966249795466,-0.005059443147247128,-0.0015004849883327454,-0.005208696429679555,-0.03304249674401871,-0.013833847235902141,-0.018535218015663935
