cm-1,CB-5e-4_0,CB-5e-4_30,CB-5e-4_120,CB-5e-4_9001
804.2045,2.4078453997023757,2.4426338373156504,2.4558994230170526,2.4459697676311
806.1331,2.220780687644466,2.2479778751322037,2.26653163814992,2.25495621935017
808.0616,2.0560254641371087,2.0767474420287346,2.099099265004849,2.0868142800517244
809.9902,1.910690777260757,1.9258001910105071,1.9506393913170716,1.9383387751706072
811.9187,1.7807026213330106,1.7909529087635907,1.8171902526996422,1.8053626953227326
813.8472,1.6617508441193996,1.6679092138903149,1.6946802421035596,1.6836666848235473
815.7758,1.5502949130099224,1.5532083728008466,1.5798630788955188,1.5699258437845385
817.7043,1.4443854313784577,1.4449977571687682,1.4710885495139057,1.4624554051151695
819.6329,1.3440829641846277,1.3434008055427777,1.368664694042887,1.3615480024407258
821.5615,1.2513211976580811,1.2503548084253306,1.2746849119299992,1.2692758766436238
823.49,1.169276677403717,1.1689752864281129,1.192390751971336,1.1888400320056718
825.4185,1.1014794118932894,1.102685211009771,1.1252921490917984,1.1236856559011303
827.3471,1.0509276198155275,1.0543495867073356,1.0763099886433496,1.07665114962361
829.2756,1.0193798772616527,1.0255853635656067,1.0470829420355086,1.0492836362804607
831.2042,1.0068858778948835,1.0162947855575215,1.0375047498504808,1.0413845903327035
833.1328,1.0115368477481093,1.024418396885848,1.0454733748614153,1.0507590643562188
835.0613,1.0294577402564484,1.0459182610460924,1.0668691048623078,1.0732023629993963
836.9898,1.0550975244437761,1.075064309725293,1.0958444049093985,1.1027920222027208
838.9184,1.0819004532414285,1.105110260944292,1.1255173933904525,1.1326012562001266
840.8469,1.103416545117017,1.1294217874899453,1.1491331490959706,1.1558832166111692
842.7755,1.1146714194601328,1.1428719859337166,1.1615130814782066,1.1675335025517202
844.704,1.1133561225245072,1.143056295702589,1.1603002937779157,1.165333985896079
846.6326,1.100313474681047,1.130789319984098,1.146460385775716,1.1504222767122456
848.5611,1.0790360122238123,1.1095886642373103,1.1237113291246745,1.12667285447676
850.4897,1.054372070815472,1.0843559388803825,1.0971510953592152,1.099284139214987
