cm-1,CB-5e-3_0,CB-5e-3_10,CB-5e-3_20,CB-5e-3_30,CB-5e-3_40,CB-5e-3_50,CB-5e-3_60,CB-5e-3_120,CB-5e-3_180,CB-5e-3_300,CB-5e-3_600
400.0,0.23172017005593415,0.24310070829615157,0.24574685581734085,0.2412368671038538,0.2547041722939181,0.2377913555680573,0.2768770075644378,0.27870120538868615,0.3208099975148831,0.4318386283322248,0.3506715833612587
400.25,0.2329394702219102,0.22635842911595216,0.23624246142430091,0.24133273830578872,0.26061503521078305,0.23491147912420926,0.2649311701076817,0.27392183677552584,0.31482625712174855,0.4326749804483706,0.33439524953229727
400.5,0.22505044044635986,0.21365541606707064,0.22449180678839226,0.2285191090667531,0.2602057312243046,0.2342958400701652,0.23516391944284074,0.27392183677552584,0.29854597803059085,0.42352382704904945,0.31831645637440587
400.75,0.21070790942183065,0.2082228369301654,0.21585564988916528,0.21191778296928807,0.25328509837900565,0.24192530031799572,0.2063551859516188,0.27750343715810555,0.27644726176804174,0.40499724849584107,0.30712708472159544
401.0,0.19945421684767195,0.2096017948564819,0.2136159820339624,0.20300908405464307,0.2482410825683632,0.25489156024604237,0.1976526824864475,0.2832925992879628,0.263505463242487,0.39363664270630144,0.3077312546742473
401.25,0.19906591136322035,0.21425054598579304,0.21820038460084765,0.20318965237409478,0.24944822905360994,0.26220779138615763,0.20954542501586812,0.29034480965491954,0.2675337126159831,0.39722749207891855,0.3206466503043666
401.5,0.2092300889491219,0.22012898255026775,0.22666765163066163,0.2075387443494441,0.25075840062371596,0.2574280169764162,0.22918808840093294,0.29411909044410034,0.2858085813708967,0.40782953691890356,0.3399102644590274
401.75,0.220537835398344,0.22898688757101618,0.23463750772144534,0.21365951677434952,0.24563294720315537,0.24743913577382473,0.2436961825958432,0.29145287533174025,0.3075878629138545,0.41420580034335946,0.3548882642122254
402.0,0.22173845218762403,0.24114101570813268,0.23916088294660057,0.2228128622632986,0.2359901705105763,0.24639559250492798,0.24884235698538806,0.28581918045217963,0.3203296012865317,0.41434203068184133,0.36261154019638836
402.25,0.20962387986855732,0.2490119624678788,0.2408773741312522,0.23332952020483433,0.2273591509564689,0.2580635124719853,0.24715801307042895,0.2836216596509439,0.3178123754774052,0.41080771451074055,0.36637096906347844
402.5,0.1927849319819219,0.24268769837618653,0.24188905085578832,0.2389402833857103,0.2212469120471481,0.2715385065749528,0.24129298687642345,0.28658987256637897,0.3054647462729134,0.40378653663503816,0.36702091020489125
402.75,0.18503328408648503,0.22524926832385045,0.24391681547582802,0.23494111046669774,0.2175866267904323,0.2735922353940923,0.23506047564895924,0.2917856220875286,0.29737937846250695,0.3956295277120047,0.3623529100285181
403.0,0.19307362832885513,0.21385373810756803,0.24666367905050904,0.22533226452450242,0.21806711597585585,0.2646629429375891,0.23444011807963575,0.2964600145509534,0.3038174290500333,0.3931060613690757,0.35360816700691566
403.25,0.21060929425474323,0.21833047319723867,0.24737759758136182,0.21826595163816978,0.2214401070225335,0.25563044895364273,0.24171037056688918,0.29914454721256456,0.31901003889094126,0.3986951601825067,0.3453363909883865
403.5,0.22344273776159615,0.23010181996365642,0.24351079084134158,0.21808105219891583,0.22211672321623782,0.25183840293603005,0.25201093125073615,0.2979129152659979,0.32623499113352145,0.40594020792097485,0.3394073479689377
403.75,0.2225399697361503,0.2337627961528134,0.23664427733789722,0.22225434792690354,0.21797099089822425,0.24890261043282932,0.257962358245789,0.29222951963873894,0.3161387376027799,0.4079646634170373,0.3353951960132235
404.0,0.21149731417721876,0.22605576138953923,0.2316381336459024,0.2254257676661591,0.2152850060521375,0.24223629322843745,0.2576423086170134,0.2861493778073644,0.29574907186099103,0.4076944337124182,0.3347700850989231
404.25,0.2009122180824537,0.21723358952693617,0.2309401309863728,0.22411797304611678,0.21979970151204353,0.23347579588564057,0.2546618723214546,0.2835119564410569,0.2772420166869383,0.412029328967807,0.3421772532512328
404.5,0.19790224158785827,0.21653644084625967,0.23283633654139785,0.2201179087326698,0.22852965934666206,0.22857480799432614,0.25370643298372625,0.282415826844225,0.26607666026944093,0.41926215930819755,0.357326025548403
404.75,0.2033487569515049,0.22434304108386485,0.23503840018560604,0.21872843556287452,0.23352698451485743,0.2304088195356154,0.25636350031272326,0.2783743470804041,0.26127652512093685,0.42132136335752757,0.37171591487121347
405.0,0.2133756036030666,0.2354980762122314,0.2376498306387158,0.22178929370739825,0.23342864293553717,0.2355276385099569,0.25935085079003684,0.2724076436764594,0.2628361111442959,0.4157056379333642,0.3739424772002992
405.25,0.22243973155475966,0.24423770748454185,0.24017007218049188,0.2243046362751745,0.23224965505405462,0.23840995484418293,0.2560441451858763,0.26949622209289653,0.2706812767825435,0.4082349863203836,0.36054480290911317
405.5,0.22625856213638326,0.24485864574002503,0.23946348648499421,0.21974708562196843,0.23136675739137483,0.23758527239971033,0.2423368903378682,0.2693886135319534,0.2809996911123398,0.40298043311816717,0.336897429593291
405.75,0.2226402217827018,0.23427273906704596,0.23453732058441096,0.20808447803582408,0.22823684277830567,0.2364528551367938,0.22336219460161724,0.265311155781207,0.28569373792501446,0.3980276976108885,0.31391961604059704
